5072,6139,7212,8279,9343,10411,11478,12546,13614,14682,15748,16816,17883,18951,20019,21087,22154,23223,24291,25359
1.5,87.6925,46.521,88.0777,49.7994,88.1462,46.0605,87.9615,39.3413,88.3369,49.0634,88.1085,45.9577,88.2726,48.0686,88.0888,38.8039,88.1722,48.96,88.0712
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.125,66.30525,2.645625,65.595075,1.730175,66.00750000000001,3.179475,66.036975,3.9564,65.34765,1.764975,65.96895,2.03325,66.087675,1.76025,65.226675,2.01225,65.8392,2.2891500000000002,65.423925
"{'regulator': [26.69677051788141, 26.019389773397858, 26.378003108712683], 'honeywell': [-7.32422878709271, 0.47168336768977587, 38.256393283708384], 'commanded': [0, 0, 0]}","{'regulator': [25.780314216521305, 26.13892755183613, 26.298311256420494], 'honeywell': [-7.363404225056436, 0.452095648707912, 33.04606003453215], 'commanded': [0, 0, 0]}","{'regulator': [109.05829986185289, 28.689066825185996, 129.30003034406744], 'honeywell': [94.4535590426806, 0.47168336768977587, 108.55671670962379], 'commanded': [0, 0, 0]}","{'regulator': [24.584936432138555, 25.780314216521305, 85.74843306638925], 'honeywell': [57.491533323900335, 0.452095648707912, 35.690402097084], 'commanded': [0, 0, 0]}","{'regulator': [104.03771316744533, 30.920438689367128, 130.3360244238658], 'honeywell': [95.70717305752, 0.5108588056535034, 93.86592747322463], 'commanded': [0, 0, 0]}","{'regulator': [26.736616444027504, 26.736616444027504, 91.44640050528035], 'honeywell': [60.312164857288984, 0.3345693348167119, 33.8687442317705], 'commanded': [0, 0, 0]}","{'regulator': [102.04541686014073, 32.63381351364907, 129.77818145782055], 'honeywell': [94.04221694406142, 0.4325079297260396, 99.11543616036458], 'commanded': [0, 0, 0]}","{'regulator': [24.70447421057683, 25.820160142667397, 86.5453515893111], 'honeywell': [56.61008596971639, 0.4325079297260396, 19.119191838425756], 'commanded': [0, 0, 0]}","{'regulator': [106.86677392381783, 29.04768016050082, 130.13679479313535], 'honeywell': [94.51232219962618, 0.3149816158348568, 75.27718215943425], 'commanded': [0, 0, 0]}","{'regulator': [26.13892755183613, 25.820160142667397, 78.65585821238494], 'honeywell': [49.98943695384583, 0.37374477278044815, 22.331577751451714], 'commanded': [0, 0, 0]}","{'regulator': [103.95802131515315, 37.29578687274179, 130.17664071928144], 'honeywell': [97.60718179876095, 0.47168336768977587, 75.31635759739797], 'commanded': [0, 0, 0]}","{'regulator': [27.69291867153371, 26.816308296319686, 89.17518271495314], 'honeywell': [58.725559619757874, 0.41292021074417573, 16.90577959347496], 'commanded': [0, 0, 0]}","{'regulator': [104.51586428119843, 28.808604603624268, 129.10080071333698], 'honeywell': [95.11954148806402, 0.37374477278044815, 83.81742763552764], 'commanded': [0, 0, 0]}","{'regulator': [25.70062236422912, 26.019389773397858, 87.50165381681731], 'honeywell': [55.76781405349616, 0.37374477278044815, 16.278972586055254], 'commanded': [0, 0, 0]}","{'regulator': [102.7626435307704, 25.740468290375215, 128.4234199688534], 'honeywell': [97.64635723672467, 0.452095648707912, 87.30404161429968], 'commanded': [0, 0, 0]}","{'regulator': [26.21861940412831, 26.338157182566587, 88.97595308422268], 'honeywell': [58.94102452855837, 0.5304465246353759, 15.260411198998252], 'commanded': [0, 0, 0]}","{'regulator': [103.83848353671486, 26.69677051788141, 128.9812629348987], 'honeywell': [93.41540993664171, 0.37374477278044815, 74.1019190205223], 'commanded': [0, 0, 0]}","{'regulator': [26.417849034858772, 26.457694961004865, 78.8152419169693], 'honeywell': [49.0492264427163, 0.41292021074417573, 14.927419976306542], 'commanded': [0, 0, 0]}","{'regulator': [100.73050129731972, 25.780314216521305, 128.5429577472917], 'honeywell': [97.88140986450706, 0.39333249176231194, 85.20815568324005], 'commanded': [0, 0, 0]}","{'regulator': [25.820160142667397, 26.019389773397858, 89.25487456724531], 'honeywell': [54.749252666439176, 0.5108588056535034, 14.907832257324678], 'commanded': [0, 0, 0]}"
