5071,6139,7206,8274,9341,10407,11467,12534,13602,14674,15741,16808,17876,18944,20011,21078,22146,23214,24282,25348
1.5,87.6925,46.521,88.0777,49.7994,88.1462,46.0605,87.9615,39.3413,88.3369,49.0634,88.1085,45.9577,88.2726,48.0686,88.0888,38.8039,88.1722,48.96,88.0712
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.125,66.30525,2.645625,65.595075,1.730175,66.00750000000001,3.179475,66.036975,3.9564,65.34765,1.764975,65.96895,2.03325,66.087675,1.76025,65.226675,2.01225,65.8392,2.2891500000000002,65.423925
"{'regulator': [38.96931577087764, 38.531010583270636, 39.68654244150729], 'honeywell': [-18.117061946100613, 36.02339331977572, -4.151018312030497], 'commanded': [0, 0, 0]}","{'regulator': [37.933321691079264, 38.849777992439364, 39.28808318004638], 'honeywell': [-18.156237384064344, 36.140919633666904, -3.9747288411937047], 'commanded': [0, 0, 0]}","{'regulator': [111.13028802144964, 31.478281655412413, 131.8900155435634], 'honeywell': [87.04940126753544, 38.39350731658146, 76.25656810852752], 'commanded': [0, 0, 0]}","{'regulator': [27.732764597679797, 29.007834234354725, 89.13533678880707], 'honeywell': [45.2296212412525, 35.84710384893893, -2.877816578209237], 'commanded': [0, 0, 0]}","{'regulator': [106.5878524407952, 33.231502405840445, 132.60724221419304], 'honeywell': [85.30609427814939, 38.96155116705555, 50.47912992839249], 'commanded': [0, 0, 0]}","{'regulator': [28.6492208990399, 29.246909791231275, 93.79731014789978], 'honeywell': [49.98943695384583, 35.670814378102136, -4.307720063885415], 'commanded': [0, 0, 0]}","{'regulator': [109.61614282789816, 27.334305336218883, 136.03399186275692], 'honeywell': [86.34424338418827, 38.5893845064001, 66.46270861759476], 'commanded': [0, 0, 0]}","{'regulator': [25.860006068813487, 27.09522977934233, 87.78057529983992], 'honeywell': [44.015182664376866, 35.768752973011466, -1.741728877261024], 'commanded': [0, 0, 0]}","{'regulator': [107.0261576284022, 30.16336609259139, 132.16893702658604], 'honeywell': [83.34732237996286, 39.03990204298301, 50.283252738573815], 'commanded': [0, 0, 0]}","{'regulator': [27.732764597679797, 26.975692000904058, 79.17385525228413], 'honeywell': [38.608972225381955, 35.92545472486639, 2.685095612640584], 'commanded': [0, 0, 0]}","{'regulator': [101.60711167253375, 34.58626389480756, 131.61109406054075], 'honeywell': [85.48238374898621, 38.39350731658146, 54.200796534946925], 'commanded': [0, 0, 0]}","{'regulator': [27.214767557780608, 27.892148302264165, 91.60578420986474], 'honeywell': [48.246129964459804, 35.65122665912027, -3.9355534032299686], 'commanded': [0, 0, 0]}","{'regulator': [127.34757996290897, 27.772610523825886, 134.83861407837418], 'honeywell': [85.364857435095, 37.92340206101668, 74.31738392932284], 'commanded': [0, 0, 0]}","{'regulator': [28.449991268309446, 28.728912751332086, 88.37826419203131], 'honeywell': [45.34714755514371, 35.61205122115654, -3.9355534032299686], 'commanded': [0, 0, 0]}","{'regulator': [101.88603315555638, 32.83304314437953, 131.292326651372], 'honeywell': [86.28548022724266, 38.09969153185346, 68.24519104494452], 'commanded': [0, 0, 0]}","{'regulator': [28.449991268309446, 28.250761637578986, 91.36670865298818], 'honeywell': [48.26571768344168, 35.61205122115654, -4.1118428740667605], 'commanded': [0, 0, 0]}","{'regulator': [119.29870288139843, 28.09137793299462, 136.51214297651003], 'honeywell': [87.75455915088257, 38.413095035563316, 62.07505956565688], 'commanded': [0, 0, 0]}","{'regulator': [27.69291867153371, 28.768758677478175, 80.44892488895907], 'honeywell': [38.96155116705555, 35.61205122115654, -3.739676213411322], 'commanded': [0, 0, 0]}","{'regulator': [111.8076687659332, 27.812456449971982, 132.2486288788782], 'honeywell': [86.22671707029707, 38.06051609388973, 74.35655936728656], 'commanded': [0, 0, 0]}","{'regulator': [29.207063865085185, 28.330453489871168, 91.20732494840381], 'honeywell': [45.24920896023438, 35.807928410975194, -3.739676213411322], 'commanded': [0, 0, 0]}"
