5072,6139,7206,8273,9339,10413,11480,12546,13613,14678,15743,16810,17875,18942,20008,21075,22142,23209,24276,25342
1.5,4.2173,87.6507,0.3206,1.8206,87.8957,0.5872,2.0872,88.3944,0.5537,1.8026,87.3011,2.2497,1.6392,88.3499,0.9645,1.8466,87.9813,0.8513,1.5781
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
"{'regulator': [1.4344533412593, 16.177446015313215, 11.077167468613482], 'honeywell': [-0.44893942445790935, -3.1520446439553473, -0.2726499536211178], 'commanded': [0, 0, 0]}","{'regulator': [1.4742992674053912, 15.81883267999839, 11.156859320905664], 'honeywell': [-0.23347451565738156, -3.1520446439553473, -0.3118253915848454], 'commanded': [0, 0, 0]}","{'regulator': [68.37560926669329, 88.65718567505395, 11.356088951636126], 'honeywell': [-0.2922376726029816, 70.16478750516734, 80.19369962388248], 'commanded': [0, 0, 0]}","{'regulator': [12.671004514457147, 17.850974913449065, 88.89626123193048], 'honeywell': [78.41121719653273, -1.4870885304967774, 12.87070948321066], 'commanded': [0, 0, 0]}","{'regulator': [5.379200029722374, 16.097754163021033, 17.61189935657251], 'honeywell': [6.269648186321972, -3.191220081919084, -5.326281450942428], 'commanded': [0, 0, 0]}","{'regulator': [55.9038343829666, 88.77672345349222, 11.156859320905664], 'honeywell': [-0.09636048278431762, 71.51634011491606, 79.76276980628145], 'commanded': [0, 0, 0]}","{'regulator': [13.189001554356341, 16.137600089167123, 88.53764789661567], 'honeywell': [76.92255055391094, -1.800492034206624, 12.69442001237387], 'commanded': [0, 0, 0]}","{'regulator': [5.419045955868467, 15.898524532290573, 17.572053430426422], 'honeywell': [6.583051690031819, -3.2108078009009478, -5.1695796990875005], 'commanded': [0, 0, 0]}","{'regulator': [57.2984417980798, 89.05564493651485, 11.276397099343939], 'honeywell': [0.2758061778711205, 71.84933133760777, 80.03699787202756], 'commanded': [0, 0, 0]}","{'regulator': [12.431928957580597, 17.691591208864697, 88.53764789661567], 'honeywell': [78.45039263449648, -1.585027125406105, 12.459367384591486], 'commanded': [0, 0, 0]}","{'regulator': [5.618275586598926, 15.858678606144482, 17.53220750428033], 'honeywell': [6.15212187243078, -3.2695709578465477, -2.094307818934616], 'commanded': [0, 0, 0]}","{'regulator': [56.62106105359626, 86.5453515893111, 11.316243025490033], 'honeywell': [-0.037597325838734943, 70.83076995055077, 78.82255929515188], 'commanded': [0, 0, 0]}","{'regulator': [14.344533412592998, 16.416521572189765, 88.21888048744694], 'honeywell': [77.31430493354826, -1.7221411582791604, 12.949060359138125], 'commanded': [0, 0, 0]}","{'regulator': [5.897197069621565, 15.460219344683564, 17.29313194740378], 'honeywell': [6.112946434467044, -3.2695709578465477, -4.875763914359518], 'commanded': [0, 0, 0]}","{'regulator': [57.89613069027119, 88.4579560443235, 11.435780803928308], 'honeywell': [-0.07677276380246253, 72.16273484131762, 79.78235752526332], 'commanded': [0, 0, 0]}","{'regulator': [9.84194375808464, 17.452515651988147, 90.21117679475151], 'honeywell': [79.07719964191615, -0.40976398649417306, 6.7005780039230185], 'commanded': [0, 0, 0]}","{'regulator': [6.056580774205932, 16.05790823687494, 19.325274180854457], 'honeywell': [7.69955167199815, -3.230395519882811, -5.1108165421419], 'commanded': [0, 0, 0]}","{'regulator': [66.78177222084962, 88.57749382276174, 11.156859320905664], 'honeywell': [-0.018009606856862457, 72.67201553484614, 80.60504172250165], 'commanded': [0, 0, 0]}","{'regulator': [8.527028195263615, 17.651745282718604, 88.69703160120002], 'honeywell': [79.99782243406385, -0.9582201179864028, 4.48716575897221], 'commanded': [0, 0, 0]}","{'regulator': [5.140124472845824, 15.659448975414021, 19.524503811584914], 'honeywell': [7.3077972923608385, -3.132456924973484, -4.581948129631526], 'commanded': [0, 0, 0]}"
