5073,6139,7206,8273,9339,10410,11477,12541,13608,14672,15739,16806,17872,18939,20006,21071,22135,23201,24268,25337
1.5,4.2173,87.6507,0.3206,1.8206,87.8957,0.5872,2.0872,88.3944,0.5537,1.8026,87.3011,2.2497,1.6392,88.3499,0.9645,1.8466,87.9813,0.8513,1.5781
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
"{'regulator': [2.3110637164733165, 15.739140827706207, 11.515472656220489], 'honeywell': [0.07992898805246519, -3.798439370356905, 4.291288569153554], 'commanded': [0, 0, 0]}","{'regulator': [2.3907555687654996, 15.858678606144482, 11.435780803928308], 'honeywell': [0.2758061778711205, -3.778851651375041, 4.212937693226091], 'commanded': [0, 0, 0]}","{'regulator': [70.84605668775097, 88.4579560443235, 11.4756267300744], 'honeywell': [0.17786758296179286, 70.96788398342382, 81.87824345632292], 'commanded': [0, 0, 0]}","{'regulator': [15.579757123121839, 18.40881787949435, 88.61733974890785], 'honeywell': [76.29574354649124, -1.0561587128957393, 14.398551563796168], 'commanded': [0, 0, 0]}","{'regulator': [3.984592614609166, 16.217291941459308, 17.452515651988147], 'honeywell': [5.76036749279347, -3.8180270893387775, -5.815974425489058], 'commanded': [0, 0, 0]}","{'regulator': [73.67511744412349, 86.86411899847981, 11.077167468613482], 'honeywell': [0.5304465246353759, 70.20396294313107, 81.4473136387219], 'commanded': [0, 0, 0]}","{'regulator': [17.412669725842054, 19.843271220753646, 92.08393532361782], 'honeywell': [77.94111194096794, -0.8994569610408201, 13.791332275358327], 'commanded': [0, 0, 0]}","{'regulator': [5.379200029722374, 16.137600089167123, 19.165890476270086], 'honeywell': [8.267595522472261, -3.798439370356905, -2.6623516694087095], 'commanded': [0, 0, 0]}","{'regulator': [75.4681841206976, 90.17133086860542, 10.917783764029116], 'honeywell': [0.49127108667163966, 72.7503664107736, 83.17103290912604], 'commanded': [0, 0, 0]}","{'regulator': [18.24943417490998, 19.92296307304583, 90.33071457318978], 'honeywell': [77.45141896642133, -0.7819306471496199, 14.476902439723633], 'commanded': [0, 0, 0]}","{'regulator': [1.7930666765741248, 16.137600089167123, 19.086198623977907], 'honeywell': [8.678937621091436, -3.778851651375041, -3.230395519882811], 'commanded': [0, 0, 0]}","{'regulator': [72.83835299505556, 88.17903456130085, 11.117013394759574], 'honeywell': [0.4325079297260396, 71.51634011491606, 81.79989258039546], 'commanded': [0, 0, 0]}","{'regulator': [17.01421046438114, 18.40881787949435, 88.53764789661567], 'honeywell': [76.08027863769072, -1.2912113406781307, 14.731542786487877], 'commanded': [0, 0, 0]}","{'regulator': [1.5938370458436666, 16.097754163021033, 19.325274180854457], 'honeywell': [7.582025358106967, -3.896377965266241, -3.524211304610794], 'commanded': [0, 0, 0]}","{'regulator': [72.20081817671809, 90.09163901631325, 11.156859320905664], 'honeywell': [0.3149816158348568, 72.35861203113627, 82.38752414985143], 'commanded': [0, 0, 0]}","{'regulator': [13.069463775918065, 17.691591208864697, 90.21117679475151], 'honeywell': [74.9050154987788, -0.997395555950139, 10.050077949822024], 'commanded': [0, 0, 0]}","{'regulator': [3.0681363132490582, 16.018062310728848, 19.046352697831814], 'honeywell': [7.484086763197639, -3.857202527302505, -4.053079717121169], 'commanded': [0, 0, 0]}","{'regulator': [73.87434707485394, 90.56979013006635, 11.156859320905664], 'honeywell': [0.17786758296179286, 72.45655062604561, 82.99474343828926], 'commanded': [0, 0, 0]}","{'regulator': [10.838091911736933, 19.843271220753646, 90.01194716402105], 'honeywell': [77.47100668540318, -0.3118253915848454, 6.2500604673401075], 'commanded': [0, 0, 0]}","{'regulator': [5.817505217329382, 15.659448975414021, 17.731437135010786], 'honeywell': [6.230472748358244, -3.9159656842481048, -1.6633780013335688], 'commanded': [0, 0, 0]}"
