5072,6139,7203,8269,9331,10398,11462,12528,13599,14664,15731,16796,17862,18929,19996,21064,22131,23198,24265,25332
1.5,4.2173,87.6507,0.3206,1.8206,87.8957,0.5872,2.0872,88.3944,0.5537,1.8026,87.3011,2.2497,1.6392,88.3499,0.9645,1.8466,87.9813,0.8513,1.5781
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
"{'regulator': [8.606720047555799, 15.260989713953107, 11.395934877782215], 'honeywell': [0.5304465246353759, -3.191220081919084, -0.3118253915848454], 'commanded': [0, 0, 0]}","{'regulator': [8.367644490679249, 15.420373418537471, 11.435780803928308], 'honeywell': [0.7263237144540312, -3.230395519882811, -0.3705885485304455], 'commanded': [0, 0, 0]}","{'regulator': [74.91034115465233, 87.9798049305704, 11.395934877782215], 'honeywell': [0.7654991524177588, 72.45655062604561, 80.78133119333847], 'commanded': [0, 0, 0]}","{'regulator': [23.15048309087925, 20.87926530055203, 92.64177828966311], 'honeywell': [80.62462944148352, 2.9005605214411037, 17.47382344394905], 'commanded': [0, 0, 0]}","{'regulator': [8.527028195263615, 14.822684526346098, 19.24558232856227], 'honeywell': [8.953165686837545, -2.9953428921004197, -5.345869169924292], 'commanded': [0, 0, 0]}","{'regulator': [78.3769367293623, 89.49395012412187, 10.9974756163213], 'honeywell': [0.8830254663089503, 75.2380067214705, 83.81742763552764], 'commanded': [0, 0, 0]}","{'regulator': [20.162038629922378, 20.759727522113756, 92.36285680664048], 'honeywell': [79.21431367478922, 1.4706570357649162, 15.162472604088922], 'commanded': [0, 0, 0]}","{'regulator': [8.64656597370189, 15.340681566245289, 19.96280899919192], 'honeywell': [9.579972694257249, -3.2695709578465477, -4.425246377776607], 'commanded': [0, 0, 0]}","{'regulator': [78.29724487707011, 92.2831649543483, 11.117013394759574], 'honeywell': [1.0005517802001416, 75.80605057194461, 84.42464692396544], 'commanded': [0, 0, 0]}","{'regulator': [21.476954192743406, 19.604195663877096, 92.08393532361782], 'honeywell': [80.36998909471929, 1.2943675649281248, 16.533612932819512], 'commanded': [0, 0, 0]}","{'regulator': [8.686411899847982, 15.340681566245289, 21.31757048815904], 'honeywell': [11.75420950124432, -3.1128692059916196, -4.013904279157432], 'commanded': [0, 0, 0]}","{'regulator': [76.74325375737253, 89.25487456724531, 11.03732154246739], 'honeywell': [1.0789026561276054, 74.33697164830471, 83.3669100989447], 'commanded': [0, 0, 0]}","{'regulator': [21.55664604503559, 19.48465788543882, 92.52224051122484], 'honeywell': [81.85865573734104, 1.333543002891861, 17.04289362634802], 'commanded': [0, 0, 0]}","{'regulator': [8.686411899847982, 15.021914157076555, 19.444811959292732], 'honeywell': [9.36450778545672, -3.073693768027884, -3.4850358666470584], 'commanded': [0, 0, 0]}","{'regulator': [78.41678265550838, 89.37441234568358, 11.316243025490033], 'honeywell': [1.118078094091342, 75.08130496961559, 83.77825219756389], 'commanded': [0, 0, 0]}","{'regulator': [16.894672685942865, 19.046352697831814, 92.84100792039357], 'honeywell': [80.23287506184622, 1.0397272181638781, 10.402656891495605], 'commanded': [0, 0, 0]}","{'regulator': [8.925487456724532, 14.822684526346098, 19.444811959292732], 'honeywell': [9.188218314619936, -2.9953428921004197, -2.956167454136692], 'commanded': [0, 0, 0]}","{'regulator': [78.8550878431154, 89.69317975485232, 11.117013394759574], 'honeywell': [1.0789026561276054, 74.53284883812336, 83.6019627267271], 'commanded': [0, 0, 0]}","{'regulator': [15.460219344683564, 19.20573640241618, 92.2831649543483], 'honeywell': [78.29369088264154, 0.7654991524177588, 9.109867438692474], 'commanded': [0, 0, 0]}","{'regulator': [8.88564153057844, 15.181297861660925, 21.158186783574674], 'honeywell': [9.952139354912694, -3.093281487009747, -2.427299041626326], 'commanded': [0, 0, 0]}"
