5071,6138,7207,8274,9340,10407,11475,12542,13609,14677,15743,16810,17877,18943,20010,21077,22145,23212,24279,25347
1.5,4.2173,87.6507,0.3206,1.8206,87.8957,0.5872,2.0872,88.3944,0.5537,1.8026,87.3011,2.2497,1.6392,88.3499,0.9645,1.8466,87.9813,0.8513,1.5781
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
1.5,88.1306,20.5911,2.1433,87.7015,19.0476,2.0273,88.3469,19.7573,5.4146,86.8403,19.8152,3.186,87.7964,16.226,2.4574,88.0816,15.4712,1.762,87.7944
"{'regulator': [7.530880041611324, 14.583608969469546, 11.356088951636126], 'honeywell': [-0.3510008295485817, -3.3675095527558665, 0.452095648707912], 'commanded': [0, 0, 0]}","{'regulator': [7.889493376926149, 14.782838600200007, 11.595164508512672], 'honeywell': [-0.17471135871178148, -3.3675095527558665, 0.452095648707912], 'commanded': [0, 0, 0]}","{'regulator': [71.44374557994234, 89.37441234568358, 11.515472656220489], 'honeywell': [-0.09636048278431762, 74.31738392932284, 82.44628730679705], 'commanded': [0, 0, 0]}","{'regulator': [20.002654925338014, 20.36126826065284, 90.33071457318978], 'honeywell': [76.35450670343685, 1.3727184408555886, 14.986183133252142], 'commanded': [0, 0, 0]}","{'regulator': [8.208260786094883, 14.822684526346098, 19.20573640241618], 'honeywell': [8.130481489599196, -3.524211304610794, -5.365456888906157], 'commanded': [0, 0, 0]}","{'regulator': [70.40775150014396, 89.57364197641405, 11.356088951636126], 'honeywell': [0.21704302092552913, 73.92562954968551, 81.42772591974001], 'commanded': [0, 0, 0]}","{'regulator': [18.169742322617797, 17.731437135010786, 90.01194716402105], 'honeywell': [81.4473136387219, -0.2530622346392453, 12.792358607283196], 'commanded': [0, 0, 0]}","{'regulator': [7.650417820049599, 15.380527492391382, 19.20573640241618], 'honeywell': [7.69955167199815, -3.2695709578465477, -5.130404261123764], 'commanded': [0, 0, 0]}","{'regulator': [79.2933930307224, 90.05179309016717, 11.156859320905664], 'honeywell': [0.3345693348167119, 73.76892779783059, 82.38752414985143], 'commanded': [0, 0, 0]}","{'regulator': [22.114489011080874, 19.24558232856227, 92.56208643737094], 'honeywell': [78.29369088264154, -0.21388679667551777, 14.14391121703192], 'commanded': [0, 0, 0]}","{'regulator': [8.606720047555799, 15.420373418537471, 21.476954192743406], 'honeywell': [9.42327094240232, -3.347921833774011, -5.012877947232573], 'commanded': [0, 0, 0]}","{'regulator': [76.942483388103, 87.50165381681731, 11.196705247051757], 'honeywell': [0.25621845888925676, 72.94624360059224, 81.17308557297575], 'commanded': [0, 0, 0]}","{'regulator': [21.875413454204327, 17.29313194740378, 90.25102272089761], 'honeywell': [76.92255055391094, -0.40976398649417306, 14.08514806008632], 'commanded': [0, 0, 0]}","{'regulator': [8.606720047555799, 14.90237637863828, 19.444811959292732], 'honeywell': [7.464499044215766, -3.406684990719594, -4.640711286577126], 'commanded': [0, 0, 0]}","{'regulator': [77.14171301883344, 90.13148494245932, 11.196705247051757], 'honeywell': [0.23663073990739292, 73.6514014839394, 81.76071714243172], 'commanded': [0, 0, 0]}","{'regulator': [15.14145193551483, 17.731437135010786, 92.12378124976391], 'honeywell': [81.64319082854054, -0.39017626751230927, 7.679963953016286], 'commanded': [0, 0, 0]}","{'regulator': [8.566874121409707, 15.181297861660925, 20.99880307899031], 'honeywell': [8.913990248873818, -3.406684990719594, -4.053079717121169], 'commanded': [0, 0, 0]}","{'regulator': [78.73555006467711, 89.77287160714452, 11.117013394759574], 'honeywell': [0.25621845888925676, 74.31738392932284, 81.54525223363122], 'commanded': [0, 0, 0]}","{'regulator': [13.46792303737898, 19.086198623977907, 91.96439754517954], 'honeywell': [77.88234878402235, 0.19745530194365665, 6.054183277521444], 'commanded': [0, 0, 0]}","{'regulator': [8.40749041682534, 14.942222304784373, 19.524503811584914], 'honeywell': [8.913990248873818, -3.0541060490460197, -4.190193749994215], 'commanded': [0, 0, 0]}"
