5073,6139,7207,8274,9342,10420,11488,12554,13622,14689,15757,16825,17893,18961,20028,21097,22165,23232,24299,25367
1.5,88.4454,3.1767,86.1636,3.4528,87.9405,3.4821,88.1544,13.054,88.258,3.301,87.3789,9.1804,86.4756,10.3067,88.2924,3.6737,88.0696,6.6826,84.772
1.5,88.4454,3.1767,86.1636,3.4528,87.9405,3.4821,88.1544,13.054,88.258,3.301,87.3789,9.1804,86.4756,10.3067,88.2924,3.6737,88.0696,6.6826,84.772
1.5,88.1552,38.7163,88.0504,34.8577,87.9861,36.7254,88.4028,37.5046,88.4061,31.6245,88.0317,39.5648,87.8237,32.5314,88.203,37.8268,85.9634,34.0674,87.8185
"{'regulator': [7.331650410880866, 7.291804484734773, 6.49488596181294], 'honeywell': [-2.760290264318037, -4.758237600468318, 6.387174500213172], 'commanded': [0, 0, 0]}","{'regulator': [7.411342263173049, 7.291804484734773, 6.375348183374666], 'honeywell': [-2.525237636535654, -4.640711286577126, 6.367586781231299], 'commanded': [0, 0, 0]}","{'regulator': [89.4142582718297, 81.723994525634, 85.15074417419787], 'honeywell': [72.22149799826322, 68.71529630050928, 80.409164532683], 'commanded': [0, 0, 0]}","{'regulator': [41.638992822665784, 13.46792303737898, 14.503917117177362], 'honeywell': [5.466551708065486, 0.5696219625991035, 36.571849451267944], 'commanded': [0, 0, 0]}","{'regulator': [89.4142582718297, 80.05046562749814, 83.1982937930394], 'honeywell': [70.32148925702226, 67.50085772363363, 80.80091891232034], 'commanded': [0, 0, 0]}","{'regulator': [37.37547872503398, 11.595164508512672, 12.511620809872781], 'honeywell': [3.4686043719152058, -1.134509588823203, 33.16358634842335], 'commanded': [0, 0, 0]}","{'regulator': [87.26257825994072, 82.04276193480273, 85.38981973107444], 'honeywell': [72.04520852742642, 68.42148051578131, 79.88029612017264], 'commanded': [0, 0, 0]}","{'regulator': [39.248237253900285, 13.348385258940706, 14.503917117177362], 'honeywell': [5.64284117890227, 0.07992898805246519, 34.76977930493632], 'commanded': [0, 0, 0]}","{'regulator': [89.37441234568358, 81.80368637792617, 85.5492034356588], 'honeywell': [73.12253307142903, 69.14622611811032, 80.36998909471929], 'commanded': [0, 0, 0]}","{'regulator': [39.36777503233856, 13.507768963525074, 14.543763043323455], 'honeywell': [6.093358715485179, 1.1376658130732056, 35.16153368457365], 'commanded': [0, 0, 0]}","{'regulator': [89.37441234568358, 81.80368637792617, 85.78827899253535], 'honeywell': [75.5318225061985, 69.30292786996525, 80.8792697882478], 'commanded': [0, 0, 0]}","{'regulator': [33.51042388886309, 13.46792303737898, 14.464071191031273], 'honeywell': [5.251086799264959, 0.5696219625991035, 30.147077625216063], 'commanded': [0, 0, 0]}","{'regulator': [87.42196196452511, 79.85123599676768, 85.34997380492833], 'honeywell': [70.96788398342382, 67.75549807039788, 79.91947155813635], 'commanded': [0, 0, 0]}","{'regulator': [43.551597277678184, 11.395934877782215, 14.42422526488518], 'honeywell': [3.899534189516244, -0.8015183661314838, 37.86463890407108], 'commanded': [0, 0, 0]}","{'regulator': [89.3345664195375, 80.05046562749814, 82.91937231001674], 'honeywell': [70.83076995055077, 67.48127000465175, 80.46792768962861], 'commanded': [0, 0, 0]}","{'regulator': [35.42302834387549, 13.507768963525074, 14.224995634154723], 'honeywell': [3.9974727844255624, 0.902613185290814, 31.302753045146122], 'commanded': [0, 0, 0]}","{'regulator': [89.29472049339141, 81.96307008251054, 83.07875601460111], 'honeywell': [70.06684891025802, 68.83282261440047, 80.46792768962861], 'commanded': [0, 0, 0]}","{'regulator': [39.20839132775419, 13.149155628210247, 14.304687486446905], 'honeywell': [4.585104353881537, -0.2922376726029816, 35.670814378102136], 'commanded': [0, 0, 0]}","{'regulator': [87.14304048150247, 82.24199156553318, 85.15074417419787], 'honeywell': [74.25862077237723, 69.00911208523728, 78.90091017107937], 'commanded': [0, 0, 0]}","{'regulator': [37.13640316815743, 13.46792303737898, 14.384379338739087], 'honeywell': [3.93870962747998, 0.7654991524177588, 32.752244249804185], 'commanded': [0, 0, 0]}"
