5064,6133,7197,8263,9337,10404,11471,12531,13598,14665,15731,16799,17865,18936,20001,21066,22125,23192,24259,25327
1.5,88.4454,3.1767,86.1636,3.4528,87.9405,3.4821,88.1544,13.054,88.258,3.301,87.3789,9.1804,86.4756,10.3067,88.2924,3.6737,88.0696,6.6826,84.772
1.5,88.4454,3.1767,86.1636,3.4528,87.9405,3.4821,88.1544,13.054,88.258,3.301,87.3789,9.1804,86.4756,10.3067,88.2924,3.6737,88.0696,6.6826,84.772
1.5,88.1552,38.7163,88.0504,34.8577,87.9861,36.7254,88.4028,37.5046,88.4061,31.6245,88.0317,39.5648,87.8237,32.5314,88.203,37.8268,85.9634,34.0674,87.8185
"{'regulator': [7.172266706296499, 7.052728927858223, 6.215964478790299], 'honeywell': [-3.171632362937211, -3.994316560175569, 6.837692036796073], 'commanded': [0, 0, 0]}","{'regulator': [7.650417820049599, 6.813653370981675, 6.2558104049363905], 'honeywell': [-3.132456924973484, -3.9747288411937047, 6.739753441886746], 'commanded': [0, 0, 0]}","{'regulator': [85.66874121409707, 79.41293080916068, 83.1982937930394], 'honeywell': [73.4946997320845, 69.34210330792898, 79.42977858358972], 'commanded': [0, 0, 0]}","{'regulator': [39.84592614609166, 8.965333382870623, 8.766103752140165], 'honeywell': [1.0005517802001416, -2.642763950426845, 34.358437206317156], 'commanded': [0, 0, 0]}","{'regulator': [85.5093575095127, 76.98232931424909, 79.01447154769977], 'honeywell': [70.61530504175023, 66.01219108101184, 78.80297157617005], 'commanded': [0, 0, 0]}","{'regulator': [33.351040184278716, 9.483330422769816, 10.280248945691648], 'honeywell': [1.255192126964397, -2.8582288592273644, 30.950174103472538], 'commanded': [0, 0, 0]}","{'regulator': [85.11089824805178, 80.05046562749814, 81.00676785500434], 'honeywell': [71.69262958575284, 68.28436648290825, 78.82255929515188], 'commanded': [0, 0, 0]}","{'regulator': [35.024569082414565, 9.204408939747175, 10.240403019545555], 'honeywell': [2.4892184228219203, -2.2118341328257984, 32.242963556275676], 'commanded': [0, 0, 0]}","{'regulator': [85.66874121409707, 79.49262266145287, 81.2458434118809], 'honeywell': [69.06787524218286, 67.71632263243416, 78.78338385718818], 'commanded': [0, 0, 0]}","{'regulator': [35.383182417729394, 8.168414859948792, 8.487182269117524], 'honeywell': [0.5304465246353759, -3.073693768027884, 32.321314432203124], 'commanded': [0, 0, 0]}","{'regulator': [83.27798564533157, 77.42063450185609, 79.17385525228413], 'honeywell': [64.24929637264395, 65.75755073424759, 76.74626108307416], 'commanded': [0, 0, 0]}","{'regulator': [23.34971272160971, 7.092574854004314, 8.40749041682534], 'honeywell': [-0.2530622346392453, -3.7005007754475856, 23.40890229545431], 'commanded': [0, 0, 0]}","{'regulator': [83.1186019407472, 75.78695152986633, 76.78309968351863], 'honeywell': [64.28847181060767, 64.89569109904551, 76.88337511594722], 'commanded': [0, 0, 0]}","{'regulator': [35.144106860852844, 7.092574854004314, 8.248106712240974], 'honeywell': [0.1386921449980653, -2.877816578209237, 33.28111266231455], 'commanded': [0, 0, 0]}","{'regulator': [80.92707600271217, 73.91419300100003, 77.10186709268736], 'honeywell': [62.13382272260248, 62.6822788540947, 75.25759444045238], 'commanded': [0, 0, 0]}","{'regulator': [25.262317176622112, 7.411342263173049, 8.248106712240974], 'honeywell': [0.4325079297260396, -3.5046235856289303, 24.995507532985417], 'commanded': [0, 0, 0]}","{'regulator': [79.17385525228413, 75.4681841206976, 77.10186709268736], 'honeywell': [65.75755073424759, 63.426612175405594, 74.37614708626843], 'commanded': [0, 0, 0]}","{'regulator': [31.279052024681953, 6.933191149419949, 8.566874121409707], 'honeywell': [0.23663073990739292, -3.4262727097014665, 29.3831565849233], 'commanded': [0, 0, 0]}","{'regulator': [77.54017228029437, 73.11727447807819, 77.22140487112563], 'honeywell': [65.3070331976647, 63.17197182864134, 72.16273484131762], 'commanded': [0, 0, 0]}","{'regulator': [27.294459410072786, 6.614423740251216, 8.487182269117524], 'honeywell': [0.3345693348167119, -3.622149899520122, 25.818191730223777], 'commanded': [0, 0, 0]}"
