5073,6140,7206,8274,9342,10413,11479,12546,13613,14680,15747,16815,17883,18951,20017,21086,22151,23219,24286,25356
1.5,5.5223,88.1561,8.297,86.8608,3.1978,87.4349,6.2061,88.1764,8.8417,84.3531,20.6906,87.4617,8.8678,88.4472,2.3565,87.2843,16.1567,86.4014,2.0218
1.5,87.9801,35.1978,86.6812,33.7883,86.5855,34.2489,88.1838,34.6344,88.2121,27.9529,87.1458,35.6314,85.7686,30.2692,87.5069,35.2001,77.2657,27.8369,86.1781
1.5,88.3796,3.1095,72.487,3.2221,84.5676,3.4216,85.7409,13.4715,86.2528,3.1826,83.3749,7.6081,74.4519,11.4181,86.8492,3.6202,85.0501,6.3579,70.4989
"{'regulator': [7.052728927858223, 7.491034115465232, 6.215964478790299], 'honeywell': [-4.190193749994215, -4.033491998139296, 8.15006920858106], 'commanded': [0, 0, 0]}","{'regulator': [6.973037075566041, 7.690263746195691, 6.2558104049363905], 'honeywell': [-3.798439370356905, -4.053079717121169, 8.189244646544797], 'commanded': [0, 0, 0]}","{'regulator': [89.3345664195375, 85.9875086232658, 6.3355022572285735], 'honeywell': [-4.072667436103033, 74.2194453344135, 84.26794517211052], 'commanded': [0, 0, 0]}","{'regulator': [7.052728927858223, 25.581084585790848, 87.62119159525555], 'honeywell': [72.92665588161037, 15.769691892526764, 7.54284992014323], 'commanded': [0, 0, 0]}","{'regulator': [75.14941671152887, 84.27413379898387, 16.416521572189765], 'honeywell': [6.876867474759801, 70.43901557091344, 70.75241907462329], 'commanded': [0, 0, 0]}","{'regulator': [7.371496337026957, 23.469250500047988, 89.25487456724531], 'honeywell': [77.98028737893169, 14.53566559666923, 8.816051653964491], 'commanded': [0, 0, 0]}","{'regulator': [87.50165381681731, 83.95536638981514, 18.368971953348257], 'honeywell': [7.209858697451521, 72.96583131957411, 80.95762066417525], 'commanded': [0, 0, 0]}","{'regulator': [7.012883001712132, 23.34971272160971, 91.36670865298818], 'honeywell': [75.66893653907155, 15.044946290197725, 8.620174464145835], 'commanded': [0, 0, 0]}","{'regulator': [89.61348790256015, 85.78827899253535, 18.52835565793262], 'honeywell': [7.209858697451521, 74.68955058997828, 82.32876099290584], 'commanded': [0, 0, 0]}","{'regulator': [11.515472656220489, 25.581084585790848, 91.287016800696], 'honeywell': [77.2359540576208, 15.906805925399809, 15.397525231871315], 'commanded': [0, 0, 0]}","{'regulator': [89.57364197641405, 86.10704640170407, 20.520651965237207], 'honeywell': [9.579972694257249, 73.51428745106634, 82.58340133967008], 'commanded': [0, 0, 0]}","{'regulator': [7.371496337026957, 15.420373418537471, 87.14304048150247], 'honeywell': [74.08233130154044, 6.798516598832346, 10.696472676223578], 'commanded': [0, 0, 0]}","{'regulator': [87.58134566910948, 86.0273545494119, 22.51294827254179], 'honeywell': [11.107814774842755, 71.73180502371659, 79.5668926164628], 'commanded': [0, 0, 0]}","{'regulator': [7.570725967757415, 25.93969792110567, 91.00809531767335], 'honeywell': [77.04007686780214, 15.6913410165993, 8.385121836363453], 'commanded': [0, 0, 0]}","{'regulator': [77.38078857571, 83.99521231596124, 20.48080603909111], 'honeywell': [9.540797256293521, 71.61427870982538, 72.04520852742642], 'commanded': [0, 0, 0]}","{'regulator': [7.291804484734773, 21.516800118889496, 91.08778716996552], 'honeywell': [75.10089268859745, 11.401630559570735, 10.539770924368652], 'commanded': [0, 0, 0]}","{'regulator': [91.52609235757257, 86.18673825399627, 18.289280101056075], 'honeywell': [8.306770960435989, 73.76892779783059, 83.52361185079961], 'commanded': [0, 0, 0]}","{'regulator': [7.331650410880866, 23.907555687654995, 89.21502864109924], 'honeywell': [76.4916207363099, 14.672779629542287, 8.522235869236507], 'commanded': [0, 0, 0]}","{'regulator': [89.49395012412187, 76.18541079132726, 18.40881787949435], 'honeywell': [7.444911325233903, 65.3070331976647, 81.6040153905768], 'commanded': [0, 0, 0]}","{'regulator': [7.012883001712132, 17.572053430426422, 89.4142582718297], 'honeywell': [79.74318208729959, 8.580999026182099, 10.343893734550004], 'commanded': [0, 0, 0]}"
