5071,6139,7207,8274,9341,10415,11481,12549,13616,14682,15749,16817,17884,18952,20018,21084,22152,23219,24287,25354
1.5,88.4454,3.1767,86.1636,3.4528,87.9405,3.4821,88.1544,13.054,88.258,3.301,87.3789,9.1804,86.4756,10.3067,88.2924,3.6737,88.0696,6.6826,84.772
1.5,88.4454,3.1767,86.1636,3.4528,87.9405,3.4821,88.1544,13.054,88.258,3.301,87.3789,9.1804,86.4756,10.3067,88.2924,3.6737,88.0696,6.6826,84.772
1.5,88.1552,38.7163,88.0504,34.8577,87.9861,36.7254,88.4028,37.5046,88.4061,31.6245,88.0317,39.5648,87.8237,32.5314,88.203,37.8268,85.9634,34.0674,87.8185
"{'regulator': [7.052728927858223, 7.132420780150407, 6.215964478790299], 'honeywell': [-2.427299041626326, -4.288132344903543, 30.08831446827046], 'commanded': [0, 0, 0]}","{'regulator': [7.092574854004314, 7.132420780150407, 6.2956563310824825], 'honeywell': [-2.2705972897713984, -4.248956906939815, 30.127489906234196], 'commanded': [0, 0, 0]}","{'regulator': [91.04794124381945, 87.74072937369382, 91.3268627268421], 'honeywell': [77.25554177660267, 75.94316460481768, 101.54431331411588], 'commanded': [0, 0, 0]}","{'regulator': [47.13773063082643, 19.20573640241618, 18.368971953348257], 'honeywell': [9.09027971971061, 5.819130649739069, 61.58536659111022], 'commanded': [0, 0, 0]}","{'regulator': [93.00039162497794, 87.30242418608682, 87.82042122598601], 'honeywell': [79.46895402155346, 74.5524365571052, 103.30720802248383], 'commanded': [0, 0, 0]}","{'regulator': [42.0772980102728, 17.133748242819415, 16.257137867605397], 'honeywell': [8.443884993309052, 5.1923236423193755, 57.64823507575527], 'commanded': [0, 0, 0]}","{'regulator': [93.00039162497794, 87.70088344754774, 91.00809531767335], 'honeywell': [79.66483121137212, 76.74626108307416, 103.2680325845201], 'commanded': [0, 0, 0]}","{'regulator': [45.145434323521854, 17.093902316673322, 19.24558232856227], 'honeywell': [10.30471829658627, 4.87892013860952, 59.66577013088742], 'commanded': [0, 0, 0]}","{'regulator': [93.1996212557084, 87.4618078906712, 90.96824939152724], 'honeywell': [78.70503298126071, 76.6679102071467, 103.69896240212114], 'commanded': [0, 0, 0]}","{'regulator': [45.06574247122966, 19.325274180854457, 20.40111418679893], 'honeywell': [10.81399899011478, 6.073770996503316, 60.99773502165427], 'commanded': [0, 0, 0]}","{'regulator': [93.1996212557084, 87.78057529983992, 91.12763309611162], 'honeywell': [80.31122593777367, 76.6091470502011, 103.75772555906673], 'commanded': [0, 0, 0]}","{'regulator': [39.04900762316983, 17.05405639052723, 20.281576408360653], 'honeywell': [10.30471829658627, 5.6624288978841415, 55.25853335996767], 'commanded': [0, 0, 0]}","{'regulator': [93.2394671818545, 87.42196196452511, 91.20732494840381], 'honeywell': [79.46895402155346, 76.41326986038244, 103.52267293128432], 'commanded': [0, 0, 0]}","{'regulator': [47.416652113849075, 19.126044550123996, 19.00650677168572], 'honeywell': [10.245955139640678, 6.7201657229048815, 62.13382272260248], 'commanded': [0, 0, 0]}","{'regulator': [93.1996212557084, 87.62119159525555, 91.287016800696], 'honeywell': [76.31533126547312, 75.82563829092648, 103.22885714655634], 'commanded': [0, 0, 0]}","{'regulator': [41.36007133964314, 16.974364538235047, 18.647893436370897], 'honeywell': [9.893376197967095, 5.525314865011086, 56.66884912666198], 'commanded': [0, 0, 0]}","{'regulator': [93.1996212557084, 89.61348790256015, 91.20732494840381], 'honeywell': [79.54730489748091, 77.43183124743945, 104.07112906277658], 'commanded': [0, 0, 0]}","{'regulator': [45.3845098803984, 17.572053430426422, 20.560497891383296], 'honeywell': [10.794411271132915, 5.564490302974814, 60.78227011285375], 'commanded': [0, 0, 0]}","{'regulator': [91.36670865298818, 89.4142582718297, 91.3268627268421], 'honeywell': [79.0380242039524, 77.21636633863892, 102.28864663542682], 'commanded': [0, 0, 0]}","{'regulator': [43.232829868509455, 20.520651965237207, 20.440960112945024], 'honeywell': [11.244928807715818, 7.503674482179503, 58.33380524012056], 'commanded': [0, 0, 0]}"
