5072,6139,7207,8272,9338,10410,11477,12543,13612,14681,15740,16810,17879,18951,20018,21084,22151,23218,24285,25354
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,48.2464,12.975,1.7316,82.2639,83.4319,4.2458,2.6823,88.9181,88.2666,86.7666,87.4805,88.2961,81.676,2.9787,3.8314,83.9075,87.9958,87.878,77.9971
1.5,81.8358,14.3667,87.2487,25.1226,87.6688,31.3376,88.2841,28.3242,88.3588,20.5606,87.6946,31.4186,87.2402,17.525,87.7081,29.3167,84.0969,23.4899,87.3197
"{'regulator': [7.610571893903507, 9.045025235162807, 6.2956563310824825], 'honeywell': [-5.38504460788802, 35.004831932718716, 2.6655078936587207], 'commanded': [0, 0, 0]}","{'regulator': [7.570725967757415, 8.925487456724532, 6.375348183374666], 'honeywell': [-5.228342856033092, 35.04400737068245, 2.685095612640584], 'commanded': [0, 0, 0]}","{'regulator': [89.81271753329061, 51.48093658075043, 6.215964478790299], 'honeywell': [-5.365456888906157, 36.18009507163063, 74.08233130154044], 'commanded': [0, 0, 0]}","{'regulator': [17.25328602125769, 9.284100792039357, 6.3355022572285735], 'honeywell': [-5.424220045851747, 35.27905999846482, 13.007823516083716], 'commanded': [0, 0, 0]}","{'regulator': [95.74976052905826, 9.12471708745499, 6.3355022572285735], 'honeywell': [-5.443807764833611, 36.336796823485564, 79.25348911275294], 'commanded': [0, 0, 0]}","{'regulator': [35.58241204845985, 83.51706120220813, 6.375348183374666], 'honeywell': [-5.502570921779211, 35.31823543642856, 26.288296985788552], 'commanded': [0, 0, 0]}","{'regulator': [95.67006867676609, 89.4142582718297, 6.2956563310824825], 'honeywell': [-5.463395483815475, 36.199682790612506, 78.74420841922444], 'commanded': [0, 0, 0]}","{'regulator': [41.36007133964314, 19.365120107000543, 6.3355022572285735], 'honeywell': [-5.424220045851747, 35.474937188283484, 52.339963231669714], 'commanded': [0, 0, 0]}","{'regulator': [95.51068497218172, 9.244254865893266, 6.2956563310824825], 'honeywell': [-5.502570921779211, 36.49349857534049, 90.47725208936191], 'commanded': [0, 0, 0]}","{'regulator': [37.2559409465957, 91.40655457913428, 6.415194109520757], 'honeywell': [-5.38504460788802, 35.670814378102136, 35.16153368457365], 'commanded': [0, 0, 0]}","{'regulator': [97.74205683636282, 93.2394671818545, 6.2956563310824825], 'honeywell': [-5.620097235670403, 36.21927050959436, 88.9298222897945], 'commanded': [0, 0, 0]}","{'regulator': [29.48598534810783, 91.287016800696, 6.215964478790299], 'honeywell': [-5.365456888906157, 35.31823543642856, 27.679025033501002], 'commanded': [0, 0, 0]}","{'regulator': [95.5505308983278, 91.3268627268421, 6.375348183374666], 'honeywell': [-5.561334078724811, 36.45432313737676, 87.79373458884632], 'commanded': [0, 0, 0]}","{'regulator': [41.36007133964314, 91.287016800696, 6.2956563310824825], 'honeywell': [-5.463395483815475, 35.82751612995707, 37.414121367488164], 'commanded': [0, 0, 0]}","{'regulator': [95.70991460291218, 85.07105232190571, 6.2956563310824825], 'honeywell': [-5.541746359742938, 36.571849451267944, 87.44115564717275], 'commanded': [0, 0, 0]}","{'regulator': [23.628634204632352, 18.886968993247446, 6.2956563310824825], 'honeywell': [-5.4046323268698835, 35.494524907265344, 22.253226875524252], 'commanded': [0, 0, 0]}","{'regulator': [95.82945238135045, 8.805949678286256, 6.2956563310824825], 'honeywell': [-5.580921797706675, 36.49349857534049, 87.79373458884632], 'commanded': [0, 0, 0]}","{'regulator': [39.60685058921511, 87.4618078906712, 6.49488596181294], 'honeywell': [-5.502570921779211, 35.78834069199334, 35.04400737068245], 'commanded': [0, 0, 0]}","{'regulator': [91.8050138405952, 93.08008347727011, 6.215964478790299], 'honeywell': [-5.580921797706675, 36.45432313737676, 84.46382236192918], 'commanded': [0, 0, 0]}","{'regulator': [31.717357212288963, 93.47854273873102, 6.215964478790299], 'honeywell': [-5.620097235670403, 35.53370034522907, 29.246042552050245], 'commanded': [0, 0, 0]}"
