5072,6139,7207,8273,9340,10410,11477,12543,13611,14678,15745,16812,17881,18948,20016,21085,22152,23218,24286,25351
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,48.2464,12.975,1.7316,82.2639,83.4319,4.2458,2.6823,88.9181,88.2666,86.7666,87.4805,88.2961,81.676,2.9787,3.8314,83.9075,87.9958,87.878,77.9971
1.5,81.8358,14.3667,87.2487,25.1226,87.6688,31.3376,88.2841,28.3242,88.3588,20.5606,87.6946,31.4186,87.2402,17.525,87.7081,29.3167,84.0969,23.4899,87.3197
"{'regulator': [7.45118818931914, 7.21211263244259, 6.49488596181294], 'honeywell': [-5.913913020398385, 34.926481056791246, 5.740779773811606], 'commanded': [0, 0, 0]}","{'regulator': [7.291804484734773, 7.331650410880866, 6.49488596181294], 'honeywell': [-5.698448111597867, 34.94606877577312, 5.6624288978841415], 'commanded': [0, 0, 0]}","{'regulator': [85.74843306638925, 47.416652113849075, 6.49488596181294], 'honeywell': [-5.874737582434658, 36.02339331977572, 74.2194453344135], 'commanded': [0, 0, 0]}","{'regulator': [11.356088951636126, 7.331650410880866, 6.574577814105123], 'honeywell': [-5.835562144470922, 35.16153368457365, 12.733595450337596], 'commanded': [0, 0, 0]}","{'regulator': [91.92455161903345, 7.251958558588681, 6.534731887959032], 'honeywell': [-5.815974425489058, 36.140919633666904, 78.54833122940578], 'commanded': [0, 0, 0]}","{'regulator': [31.39858980312023, 81.92322415636444, 6.415194109520757], 'honeywell': [-5.815974425489058, 35.31823543642856, 26.993454869135704], 'commanded': [0, 0, 0]}","{'regulator': [91.92455161903345, 87.34227011223292, 6.534731887959032], 'honeywell': [-5.855149863452786, 36.199682790612506, 79.41019086460784], 'commanded': [0, 0, 0]}","{'regulator': [37.694246134202714, 15.021914157076555, 6.415194109520757], 'honeywell': [-5.874737582434658, 35.55328806421094, 32.047086366456995], 'commanded': [0, 0, 0]}","{'regulator': [93.87700200019195, 6.973037075566041, 6.375348183374666], 'honeywell': [-5.855149863452786, 36.21927050959436, 80.0761733099913], 'commanded': [0, 0, 0]}","{'regulator': [33.78934537188573, 87.74072937369382, 6.415194109520757], 'honeywell': [-5.874737582434658, 35.357410874392286, 29.28521799001397], 'commanded': [0, 0, 0]}","{'regulator': [91.92455161903345, 91.56593828371864, 6.2956563310824825], 'honeywell': [-5.933500739380249, 36.140919633666904, 79.88029612017264], 'commanded': [0, 0, 0]}","{'regulator': [25.740468290375215, 87.58134566910948, 6.375348183374666], 'honeywell': [-5.874737582434658, 35.1223582466099, 22.5666303792341], 'commanded': [0, 0, 0]}","{'regulator': [91.88470569288737, 87.66103752140165, 6.2956563310824825], 'honeywell': [-5.874737582434658, 36.02339331977572, 78.41121719653273], 'commanded': [0, 0, 0]}","{'regulator': [37.49501650347225, 85.66874121409707, 6.2558104049363905], 'honeywell': [-5.913913020398385, 35.1223582466099, 32.340902151185], 'commanded': [0, 0, 0]}","{'regulator': [91.84485976674127, 85.70858714024318, 6.415194109520757], 'honeywell': [-5.855149863452786, 35.98421788181199, 78.92049789006124], 'commanded': [0, 0, 0]}","{'regulator': [19.28542825470836, 13.348385258940706, 6.3355022572285735], 'honeywell': [-5.874737582434658, 34.98524421373685, 18.316095360169275], 'commanded': [0, 0, 0]}","{'regulator': [93.6777723694615, 7.331650410880866, 6.375348183374666], 'honeywell': [-5.874737582434658, 36.062568757739434, 79.54730489748091], 'commanded': [0, 0, 0]}","{'regulator': [35.46287427002157, 83.99521231596124, 6.455040035666849], 'honeywell': [-5.933500739380249, 35.220296841519215, 29.89243727845181], 'commanded': [0, 0, 0]}","{'regulator': [89.69317975485232, 90.01194716402105, 6.49488596181294], 'honeywell': [-6.011851615307713, 36.12133191468503, 76.86378739696534], 'commanded': [0, 0, 0]}","{'regulator': [29.406293495815646, 89.77287160714452, 6.49488596181294], 'honeywell': [-5.933500739380249, 35.23988456050109, 25.093446127894754], 'commanded': [0, 0, 0]}"
