5073,6140,7207,8272,9338,10403,11470,12538,13605,14673,15738,16805,17872,18939,20007,21075,22140,23205,24270,25335
1.5,4.8564,87.4336,0.4372,1.9372,87.7401,0.7866,2.2866,88.3822,1.4811,1.9111,86.6688,2.8119,1.7088,88.3424,1.8237,2.0023,87.8194,1.7322,1.6243
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
"{'regulator': [7.092574854004314, 6.773807444835582, 6.1362726264981164], 'honeywell': [-2.368535884680726, -4.190193749994215, 29.06975308121344], 'commanded': [0, 0, 0]}","{'regulator': [7.052728927858223, 6.893345223273858, 6.096426700352024], 'honeywell': [-2.192246413843935, -4.170606031012351, 29.01098992426786], 'commanded': [0, 0, 0]}","{'regulator': [88.01965085671647, 88.37826419203131, 6.096426700352024], 'honeywell': [-2.2901850087532623, 76.62873476918298, 100.40822561316772], 'commanded': [0, 0, 0]}","{'regulator': [33.31119425813262, 20.958957152844214, 88.81656937963831], 'honeywell': [76.86378739696534, 10.990288460951563, 49.57809485522667], 'commanded': [0, 0, 0]}","{'regulator': [7.21211263244259, 6.893345223273858, 20.24173048221456], 'honeywell': [10.481007767423069, -3.680913056465722, 20.41198129122888], 'commanded': [0, 0, 0]}","{'regulator': [88.01965085671647, 89.25487456724531, 6.056580774205932], 'honeywell': [-2.1726586948620707, 76.09986635667259, 99.85976948167549], 'commanded': [0, 0, 0]}","{'regulator': [31.35874387697414, 19.00650677168572, 91.16747902225772], 'honeywell': [75.70811197703527, 7.092332383560329, 46.87498963572922], 'commanded': [0, 0, 0]}","{'regulator': [6.893345223273858, 6.893345223273858, 18.32912602720216], 'honeywell': [8.776876216000764, -3.9159656842481048, 20.470744448174482], 'commanded': [0, 0, 0]}","{'regulator': [88.09934270900867, 89.57364197641405, 6.096426700352024], 'honeywell': [-2.368535884680726, 76.6091470502011, 99.66389229185684], 'commanded': [0, 0, 0]}","{'regulator': [33.39088611042481, 18.966660845539632, 90.8088656869429], 'honeywell': [77.13801546271146, 9.42327094240232, 48.598708906133396], 'commanded': [0, 0, 0]}","{'regulator': [6.853499297127766, 7.012883001712132, 19.92296307304583], 'honeywell': [9.952139354912694, -3.6417376185019856, 20.52950760512008], 'commanded': [0, 0, 0]}","{'regulator': [88.09934270900867, 89.53379605026794, 6.096426700352024], 'honeywell': [-2.2118341328257984, 75.04212953165187, 100.38863789418588], 'commanded': [0, 0, 0]}","{'regulator': [31.23920609853586, 17.093902316673322, 88.77672345349222], 'honeywell': [76.62873476918298, 6.622227127995554, 47.168805420457204], 'commanded': [0, 0, 0]}","{'regulator': [6.933191149419949, 7.012883001712132, 19.40496603314664], 'honeywell': [10.206779701676941, -3.6417376185019856, 20.431569010210755], 'commanded': [0, 0, 0]}","{'regulator': [88.01965085671647, 89.57364197641405, 6.1761185526442075], 'honeywell': [-2.2118341328257984, 77.25554177660267, 99.58554141592938], 'commanded': [0, 0, 0]}","{'regulator': [29.366447569669553, 19.046352697831814, 90.96824939152724], 'honeywell': [76.70708564511042, 7.033569226614728, 45.9151914056178], 'commanded': [0, 0, 0]}","{'regulator': [6.853499297127766, 7.092574854004314, 20.40111418679893], 'honeywell': [11.4799814354982, -3.9747288411937047, 20.41198129122888], 'commanded': [0, 0, 0]}","{'regulator': [87.9798049305704, 89.4142582718297, 6.1761185526442075], 'honeywell': [-2.1530709758801985, 77.52976984234877, 99.31131335018323], 'commanded': [0, 0, 0]}","{'regulator': [27.533534966949336, 19.165890476270086, 90.7690197607968], 'honeywell': [77.56894528031252, 6.994393788650992, 43.42755109492088], 'commanded': [0, 0, 0]}","{'regulator': [6.694115592543399, 6.893345223273858, 20.201884556068475], 'honeywell': [10.637709519277989, -3.955141122211833, 20.882086546793655], 'commanded': [0, 0, 0]}"
