5070,6138,7205,8271,9338,10407,11474,12539,13610,14679,15745,16816,17883,18948,20017,21083,22152,23219,24287,25354
1.5,4.8564,87.4336,0.4372,1.9372,87.7401,0.7866,2.2866,88.3822,1.4811,1.9111,86.6688,2.8119,1.7088,88.3424,1.8237,2.0023,87.8194,1.7322,1.6243
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
"{'regulator': [7.012883001712132, 6.893345223273858, 6.375348183374666], 'honeywell': [-2.9953428921004197, -4.954114790286982, 29.970788154379267], 'commanded': [0, 0, 0]}","{'regulator': [6.73396151868949, 6.73396151868949, 6.375348183374666], 'honeywell': [-3.0541060490460197, -5.091228823160037, 30.127489906234196], 'commanded': [0, 0, 0]}","{'regulator': [87.93995900442428, 89.17518271495314, 6.2558104049363905], 'honeywell': [-2.8386411402455005, 74.7874891848876, 102.0144185696807], 'commanded': [0, 0, 0]}","{'regulator': [35.10426093470675, 20.68003566982157, 91.08778716996552], 'honeywell': [74.92460321776066, 10.148016544731341, 52.71212989232515], 'commanded': [0, 0, 0]}","{'regulator': [7.132420780150407, 6.73396151868949, 20.321422334506746], 'honeywell': [9.75626216509403, -4.444834096758471, 22.880033882943945], 'commanded': [0, 0, 0]}","{'regulator': [88.09934270900867, 89.29472049339141, 6.1362726264981164], 'honeywell': [-2.9169920161729648, 75.92357688583581, 102.05359400764445], 'commanded': [0, 0, 0]}","{'regulator': [31.518127581558502, 19.126044550123996, 91.16747902225772], 'honeywell': [78.58750666736951, 6.445937657158754, 49.5585071362448], 'commanded': [0, 0, 0]}","{'regulator': [6.73396151868949, 7.012883001712132, 20.24173048221456], 'honeywell': [9.893376197967095, -4.738649881486454, 23.271788262581257], 'commanded': [0, 0, 0]}","{'regulator': [87.90011307827821, 89.4142582718297, 6.096426700352024], 'honeywell': [-2.7211148263543095, 76.41326986038244, 101.70101506597084], 'commanded': [0, 0, 0]}","{'regulator': [33.111964627402166, 19.046352697831814, 91.12763309611162], 'honeywell': [79.17513823682549, 8.933577967855681, 50.22448958162822], 'commanded': [0, 0, 0]}","{'regulator': [6.694115592543399, 7.012883001712132, 20.321422334506746], 'honeywell': [10.676884957241716, -4.77782531945019, 23.761481237127892], 'commanded': [0, 0, 0]}","{'regulator': [87.70088344754774, 89.25487456724531, 6.2558104049363905], 'honeywell': [-2.7015271073724367, 75.04212953165187, 100.56492736502263], 'commanded': [0, 0, 0]}","{'regulator': [31.43843572926632, 18.807277140955264, 89.09549086266097], 'honeywell': [77.6864715942037, 5.917069244648397, 48.97087556678883], 'commanded': [0, 0, 0]}","{'regulator': [6.73396151868949, 6.853499297127766, 18.488509731786532], 'honeywell': [8.737700778037027, -4.562360410649671, 23.506840890363637], 'commanded': [0, 0, 0]}","{'regulator': [87.90011307827821, 89.29472049339141, 6.3355022572285735], 'honeywell': [-2.8582288592273644, 76.08027863769072, 101.54431331411588], 'commanded': [0, 0, 0]}","{'regulator': [29.48598534810783, 20.759727522113756, 91.04794124381945], 'honeywell': [79.46895402155346, 7.503674482179503, 48.011077336677424], 'commanded': [0, 0, 0]}","{'regulator': [7.012883001712132, 6.614423740251216, 18.32912602720216], 'honeywell': [8.97275340581941, -4.856176195377654, 24.211998773710796], 'commanded': [0, 0, 0]}","{'regulator': [88.05949678286257, 89.25487456724531, 6.2956563310824825], 'honeywell': [-2.8386411402455005, 76.19780495158192, 100.87833086873248], 'commanded': [0, 0, 0]}","{'regulator': [27.812456449971982, 19.046352697831814, 91.16747902225772], 'honeywell': [79.31225226969852, 5.838718368720933, 45.03374405143385], 'commanded': [0, 0, 0]}","{'regulator': [7.052728927858223, 6.893345223273858, 18.32912602720216], 'honeywell': [9.09027971971061, -4.679886724540854, 23.173849667671927], 'commanded': [0, 0, 0]}"
