5070,6136,7203,8269,9346,10406,11474,12542,13608,14677,15743,16813,17882,18950,20019,21087,22155,23221,24288,25354
1.5,4.8564,87.4336,0.4372,1.9372,87.7401,0.7866,2.2866,88.3822,1.4811,1.9111,86.6688,2.8119,1.7088,88.3424,1.8237,2.0023,87.8194,1.7322,1.6243
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
"{'regulator': [6.933191149419949, 6.813653370981675, 6.3355022572285735], 'honeywell': [-2.5056499175537903, -4.719062162504589, 31.087288136345613], 'commanded': [0, 0, 0]}","{'regulator': [6.853499297127766, 6.973037075566041, 6.2558104049363905], 'honeywell': [-2.5644130744993814, -4.719062162504589, 31.420279359037306], 'commanded': [0, 0, 0]}","{'regulator': [89.01579901036877, 91.60578420986474, 6.096426700352024], 'honeywell': [-2.544825355517509, 77.02048914882026, 103.79690099703045], 'commanded': [0, 0, 0]}","{'regulator': [35.622257974605944, 20.99880307899031, 91.12763309611162], 'honeywell': [78.72462070024255, 10.108841106767622, 54.35749828680186], 'commanded': [0, 0, 0]}","{'regulator': [6.853499297127766, 7.092574854004314, 18.966660845539632], 'honeywell': [10.108841106767622, -4.32730778286728, 24.329525087601994], 'commanded': [0, 0, 0]}","{'regulator': [89.25487456724531, 89.49395012412187, 6.1761185526442075], 'honeywell': [-2.3489481656988627, 77.15760318169332, 103.11133083266515], 'commanded': [0, 0, 0]}","{'regulator': [31.757203138435056, 18.92681491939354, 91.40655457913428], 'honeywell': [77.04007686780214, 7.464499044215766, 50.42036677144689], 'commanded': [0, 0, 0]}","{'regulator': [7.012883001712132, 6.933191149419949, 20.48080603909111], 'honeywell': [10.089253387785758, -4.425246377776607, 24.388288244547596], 'commanded': [0, 0, 0]}","{'regulator': [89.29472049339141, 89.21502864109924, 6.1362726264981164], 'honeywell': [-2.38812360366259, 77.45141896642133, 103.71855012110301], 'commanded': [0, 0, 0]}","{'regulator': [33.55026981500917, 20.36126826065284, 91.16747902225772], 'honeywell': [79.0380242039524, 8.600586745163971, 51.98738428999613], 'commanded': [0, 0, 0]}","{'regulator': [6.973037075566041, 6.893345223273858, 20.321422334506746], 'honeywell': [10.539770924368652, -4.3664832208310065, 24.799630343166772], 'commanded': [0, 0, 0]}","{'regulator': [89.3345664195375, 89.13533678880707, 6.1362726264981164], 'honeywell': [-2.3293604467169984, 75.96275232379953, 102.99380451877398], 'commanded': [0, 0, 0]}","{'regulator': [31.677511286142867, 20.99880307899031, 90.96824939152724], 'honeywell': [75.43388391128917, 7.69955167199815, 51.00799834090284], 'commanded': [0, 0, 0]}","{'regulator': [7.012883001712132, 7.092574854004314, 18.169742322617797], 'honeywell': [9.677911289166575, -4.32730778286728, 24.897568938076088], 'commanded': [0, 0, 0]}","{'regulator': [89.21502864109924, 91.56593828371864, 6.2558104049363905], 'honeywell': [-2.3489481656988627, 76.1586295136182, 103.17009398961075], 'commanded': [0, 0, 0]}","{'regulator': [29.645369052692196, 21.078494931282485, 93.1996212557084], 'honeywell': [76.96172599187467, 8.463472712290915, 50.694594837193], 'commanded': [0, 0, 0]}","{'regulator': [7.052728927858223, 6.813653370981675, 18.368971953348257], 'honeywell': [8.97275340581941, -4.758237600468318, 24.91715665705795], 'commanded': [0, 0, 0]}","{'regulator': [89.09549086266097, 89.53379605026794, 6.375348183374666], 'honeywell': [-2.427299041626326, 77.2359540576208, 103.58143608822994], 'commanded': [0, 0, 0]}","{'regulator': [27.852302376118075, 20.79957344825985, 91.04794124381945], 'honeywell': [80.03699787202756, 7.621200796070695, 46.894577354711075], 'commanded': [0, 0, 0]}","{'regulator': [6.973037075566041, 6.893345223273858, 19.96280899919192], 'honeywell': [9.932551635930832, -4.581948129631526, 24.897568938076088], 'commanded': [0, 0, 0]}"
