5071,6136,7203,8268,9339,10405,11472,12537,13604,14670,15737,16803,17870,18936,20003,21071,22138,23202,24268,25336
1.5,4.8564,87.4336,0.4372,1.9372,87.7401,0.7866,2.2866,88.3822,1.4811,1.9111,86.6688,2.8119,1.7088,88.3424,1.8237,2.0023,87.8194,1.7322,1.6243
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
1.5,88.3901,29.2194,3.3261,88.1527,26.3155,3.1688,88.4614,27.7461,9.4584,87.4558,26.0844,4.8722,88.184,24.306,3.7808,88.3493,22.1253,2.2556,88.2085
"{'regulator': [6.853499297127766, 6.853499297127766, 6.1362726264981164], 'honeywell': [-2.4664744795900537, -4.307720063885415, 30.55841972383523], 'commanded': [0, 0, 0]}","{'regulator': [7.012883001712132, 6.73396151868949, 6.1761185526442075], 'honeywell': [-2.623176231444973, -4.32730778286728, 30.440893409944028], 'commanded': [0, 0, 0]}","{'regulator': [87.82042122598601, 91.36670865298818, 6.1761185526442075], 'honeywell': [-2.544825355517509, 76.33491898445497, 103.30720802248383], 'commanded': [0, 0, 0]}","{'regulator': [35.024569082414565, 20.79957344825985, 90.96824939152724], 'honeywell': [80.97720838315709, 11.284104245679554, 52.908007082143804], 'commanded': [0, 0, 0]}","{'regulator': [6.973037075566041, 6.694115592543399, 18.92681491939354], 'honeywell': [9.697499008148448, -3.9355534032299686, 23.74189351814602], 'commanded': [0, 0, 0]}","{'regulator': [87.90011307827821, 89.53379605026794, 6.1362726264981164], 'honeywell': [-2.427299041626326, 76.62873476918298, 102.89586592386466], 'commanded': [0, 0, 0]}","{'regulator': [31.318897950828042, 18.886968993247446, 90.84871161308901], 'honeywell': [75.4142961923073, 8.130481489599196, 50.45954220941062], 'commanded': [0, 0, 0]}","{'regulator': [6.853499297127766, 6.893345223273858, 20.162038629922378], 'honeywell': [10.520183205386797, -4.072667436103033, 23.506840890363637], 'commanded': [0, 0, 0]}","{'regulator': [87.82042122598601, 89.61348790256015, 6.1362726264981164], 'honeywell': [-2.4664744795900537, 77.39265580947573, 102.3474097923724], 'commanded': [0, 0, 0]}","{'regulator': [33.19165647969435, 18.966660845539632, 90.88855753923508], 'honeywell': [79.27307683173481, 9.795437603057767, 50.92964746497538], 'commanded': [0, 0, 0]}","{'regulator': [6.973037075566041, 6.973037075566041, 18.20958824876389], 'honeywell': [8.776876216000764, -4.1118428740667605, 24.153235616765205], 'commanded': [0, 0, 0]}","{'regulator': [87.78057529983992, 89.53379605026794, 6.096426700352024], 'honeywell': [-2.5840007934812452, 75.96275232379953, 102.4649361062636], 'commanded': [0, 0, 0]}","{'regulator': [31.318897950828042, 19.48465788543882, 90.88855753923508], 'honeywell': [76.13904179463631, 7.601613077088831, 50.087375548755155], 'commanded': [0, 0, 0]}","{'regulator': [6.574577814105123, 7.132420780150407, 18.169742322617797], 'honeywell': [8.992341124801282, -4.131430593048624, 23.66354264221856], 'commanded': [0, 0, 0]}","{'regulator': [87.70088344754774, 89.37441234568358, 6.2558104049363905], 'honeywell': [-2.4077113226444626, 77.31430493354826, 102.66081329608225], 'commanded': [0, 0, 0]}","{'regulator': [29.167217938939093, 20.91911122669812, 91.3268627268421], 'honeywell': [80.6442171604654, 7.856253423853077, 48.011077336677424], 'commanded': [0, 0, 0]}","{'regulator': [7.052728927858223, 6.773807444835582, 20.60034381752939], 'honeywell': [11.225341088733954, -4.170606031012351, 23.74189351814602], 'commanded': [0, 0, 0]}","{'regulator': [87.90011307827821, 89.53379605026794, 6.2956563310824825], 'honeywell': [-2.5056499175537903, 77.27512949558452, 101.36802384327912], 'commanded': [0, 0, 0]}","{'regulator': [27.573380893095432, 20.87926530055203, 90.92840346538117], 'honeywell': [80.09576102897317, 8.580999026182099, 45.64096333987169], 'commanded': [0, 0, 0]}","{'regulator': [6.813653370981675, 6.773807444835582, 20.321422334506746], 'honeywell': [10.422244610477469, -4.20978146897608, 24.01612158389214], 'commanded': [0, 0, 0]}"
