5074,6141,7208,8275,9342,10417,11484,12552,13620,14687,15754,16820,17889,18956,20024,21092,22159,23226,24293,25361
1.5,10.7156,13.2892,1.7648,12.9543,2.375,12.7647,2.9257,17.4696,3.5839,12.8364,2.1192,16.4492,1.8544,16.7117,3.545,13.0169,2.7777,15.8347,1.6917
1.5,88.1142,10.6656,88.0398,6.1522,88.0164,7.305,88.4077,8.3069,88.4243,4.5697,87.7907,11.6122,87.6844,4.8783,88.3031,8.3279,85.1567,6.218,87.6272
1.5,88.1142,10.6656,88.0398,6.1522,88.0164,7.305,88.4077,8.3069,88.4243,4.5697,87.7907,11.6122,87.6844,4.8783,88.3031,8.3279,85.1567,6.218,87.6272
"{'regulator': [7.570725967757415, 7.45118818931914, 6.893345223273858], 'honeywell': [-10.497439262154922, 36.49349857534049, -12.789202383033189], 'commanded': [0, 0, 0]}","{'regulator': [7.45118818931914, 7.21211263244259, 6.73396151868949], 'honeywell': [-10.497439262154922, 36.43473541839489, -13.043842729797442], 'commanded': [0, 0, 0]}","{'regulator': [98.22020795011593, 95.78960645520435, 7.012883001712132], 'honeywell': [-10.497439262154922, 38.080103812871606, 57.667822794737134], 'commanded': [0, 0, 0]}","{'regulator': [11.595164508512672, 25.18262532432993, 20.87926530055203], 'honeywell': [6.1325341534489075, 36.473910856358614, -9.753105940844037], 'commanded': [0, 0, 0]}","{'regulator': [98.22020795011593, 90.45025235162807, 15.739140827706207], 'honeywell': [-3.680913056465722, 38.04092837490786, 58.33380524012056], 'commanded': [0, 0, 0]}","{'regulator': [7.570725967757415, 21.397262340451224, 9.802097831938548], 'honeywell': [-8.754132272768889, 36.336796823485564, -14.121167273800046], 'commanded': [0, 0, 0]}","{'regulator': [97.9412864670933, 92.44254865893265, 6.773807444835582], 'honeywell': [-9.6551673459347, 38.00175293694413, 57.628647356773385], 'commanded': [0, 0, 0]}","{'regulator': [7.809801524633965, 19.564349737731003, 9.12471708745499], 'honeywell': [-7.285053349128972, 36.45432313737676, -13.768588332126464], 'commanded': [0, 0, 0]}","{'regulator': [99.97342870054398, 97.78190276250893, 17.372823799695965], 'honeywell': [-2.525237636535654, 38.13886696981719, 58.98019996652211], 'commanded': [0, 0, 0]}","{'regulator': [7.570725967757415, 23.190329017025345, 36.93717353742697], 'honeywell': [17.375884849039732, 36.49349857534049, -13.063430448779306], 'commanded': [0, 0, 0]}","{'regulator': [98.10067017167769, 97.74205683636282, 6.614423740251216], 'honeywell': [-10.869605922810369, 38.04092837490786, 58.21627892622936], 'commanded': [0, 0, 0]}","{'regulator': [7.889493376926149, 21.55664604503559, 9.323946718185448], 'honeywell': [-11.006719955683431, 36.45432313737676, -13.92529008398139], 'commanded': [0, 0, 0]}","{'regulator': [97.98113239323939, 95.63022275061998, 6.853499297127766], 'honeywell': [-9.478877875097908, 38.00175293694413, 58.17710348826564], 'commanded': [0, 0, 0]}","{'regulator': [13.348385258940706, 22.552794198687877, 33.590115741155266], 'honeywell': [10.676884957241716, 36.41514769941301, -8.636605958877704], 'commanded': [0, 0, 0]}","{'regulator': [98.02097831938548, 95.82945238135045, 16.854826759796772], 'honeywell': [-3.2695709578465477, 37.903814342034806, 58.137928050301895], 'commanded': [0, 0, 0]}","{'regulator': [7.610571893903507, 21.397262340451224, 13.388231185086799], 'honeywell': [-6.952062126437262, 36.199682790612506, -13.886114646017658], 'commanded': [0, 0, 0]}","{'regulator': [99.93358277439788, 94.1957694093607, 19.604195663877096], 'honeywell': [-0.3510008295485817, 37.9625774989804, 58.58844558688481], 'commanded': [0, 0, 0]}","{'regulator': [7.331650410880866, 23.58878827848626, 11.993623769973588], 'honeywell': [-6.775772655600471, 36.238858228576234, -13.31807079554356], 'commanded': [0, 0, 0]}","{'regulator': [95.67006867676609, 93.71761829560758, 8.686411899847982], 'honeywell': [-8.04897438942173, 37.94298977999853, 56.23791930906095], 'commanded': [0, 0, 0]}","{'regulator': [7.45118818931914, 21.277724562012946, 32.83304314437953], 'honeywell': [12.557305979500812, 36.41514769941301, -13.866526927035794], 'commanded': [0, 0, 0]}"
