5073,6141,7207,8274,9342,10412,11478,12546,13614,14681,15747,16815,17881,18948,20015,21080,22148,23213,24281,25347
1.5,10.7156,13.2892,1.7648,12.9543,2.375,12.7647,2.9257,17.4696,3.5839,12.8364,2.1192,16.4492,1.8544,16.7117,3.545,13.0169,2.7777,15.8347,1.6917
1.5,88.1142,10.6656,88.0398,6.1522,88.0164,7.305,88.4077,8.3069,88.4243,4.5697,87.7907,11.6122,87.6844,4.8783,88.3031,8.3279,85.1567,6.218,87.6272
1.5,88.1142,10.6656,88.0398,6.1522,88.0164,7.305,88.4077,8.3069,88.4243,4.5697,87.7907,11.6122,87.6844,4.8783,88.3031,8.3279,85.1567,6.218,87.6272
"{'regulator': [7.650417820049599, 7.331650410880866, 6.49488596181294], 'honeywell': [-5.6396849546522745, 36.31720910450369, -6.403605994945024], 'commanded': [0, 0, 0]}","{'regulator': [7.371496337026957, 7.491034115465232, 6.534731887959032], 'honeywell': [-5.365456888906157, 36.297621385521836, -6.403605994945024], 'commanded': [0, 0, 0]}","{'regulator': [95.9489901597887, 90.64948198235852, 7.371496337026957], 'honeywell': [-5.6396849546522745, 38.04092837490786, 69.20498927505592], 'commanded': [0, 0, 0]}","{'regulator': [9.762251905792457, 17.651745282718604, 8.88564153057844], 'honeywell': [0.07992898805246519, 36.18009507163063, -5.149991980105629], 'commanded': [0, 0, 0]}","{'regulator': [97.74205683636282, 94.27546126165286, 15.938370458436664], 'honeywell': [2.802621926531767, 37.94298977999853, 70.85035766953264], 'commanded': [0, 0, 0]}","{'regulator': [7.650417820049599, 19.803425294607553, 10.200557093399466], 'honeywell': [-2.819053421263637, 36.140919633666904, -8.009798951458004], 'commanded': [0, 0, 0]}","{'regulator': [97.70221091021675, 90.60963605621244, 8.686411899847982], 'honeywell': [-3.837614808320641, 38.06051609388973, 69.91014715840309], 'commanded': [0, 0, 0]}","{'regulator': [7.371496337026957, 21.516800118889496, 12.392083031434508], 'honeywell': [3.801595594606916, 36.238858228576234, -7.872684918584938], 'commanded': [0, 0, 0]}","{'regulator': [97.9014405409472, 90.25102272089761, 15.260989713953107], 'honeywell': [1.9799377292934182, 38.178042407780936, 70.63489276073211], 'commanded': [0, 0, 0]}","{'regulator': [7.570725967757415, 19.524503811584914, 16.137600089167123], 'honeywell': [5.48613942704735, 36.51308629432236, -7.872684918584938], 'commanded': [0, 0, 0]}","{'regulator': [97.74205683636282, 93.6379264433154, 18.01035861803343], 'honeywell': [2.8417973644955032, 38.15845468879906, 70.9874717024057], 'commanded': [0, 0, 0]}","{'regulator': [7.690263746195691, 21.31757048815904, 8.248106712240974], 'honeywell': [-4.425246377776607, 36.35638454246744, -7.637632290802556], 'commanded': [0, 0, 0]}","{'regulator': [97.8615946148011, 95.51068497218172, 6.773807444835582], 'honeywell': [-5.032465666214437, 38.19763012676279, 69.6750945306207], 'commanded': [0, 0, 0]}","{'regulator': [11.316243025490033, 21.158186783574674, 36.89732761128088], 'honeywell': [24.466639120475055, 36.55226173228609, -2.603588512463109], 'commanded': [0, 0, 0]}","{'regulator': [97.98113239323939, 93.83715607404585, 8.40749041682534], 'honeywell': [-3.3675095527558665, 38.09969153185346, 70.39984013294972], 'commanded': [0, 0, 0]}","{'regulator': [7.969185229218332, 17.61189935657251, 10.081019314961189], 'honeywell': [-4.3664832208310065, 36.43473541839489, -7.833509480621211], 'commanded': [0, 0, 0]}","{'regulator': [97.9014405409472, 95.86929830749655, 20.002654925338014], 'honeywell': [5.407788551119886, 38.00175293694413, 70.1843752241492], 'commanded': [0, 0, 0]}","{'regulator': [7.849647450780058, 20.40111418679893, 11.515472656220489], 'honeywell': [-2.368535884680726, 36.473910856358614, -7.853097199603075], 'commanded': [0, 0, 0]}","{'regulator': [94.03638570477631, 91.64563013601082, 6.49488596181294], 'honeywell': [-4.268544625921679, 37.9625774989804, 67.36374369076056], 'commanded': [0, 0, 0]}","{'regulator': [7.45118818931914, 15.420373418537471, 22.114489011080874], 'honeywell': [12.048025285972303, 36.238858228576234, -7.578869133856955], 'commanded': [0, 0, 0]}"
