5072,6133,7192,8257,9331,10398,11464,12532,13599,14663,15730,16798,17865,18932,19998,21066,22133,23200,24267,25334
1.5,10.7156,13.2892,1.7648,12.9543,2.375,12.7647,2.9257,17.4696,3.5839,12.8364,2.1192,16.4492,1.8544,16.7117,3.545,13.0169,2.7777,15.8347,1.6917
1.5,88.1142,10.6656,88.0398,6.1522,88.0164,7.305,88.4077,8.3069,88.4243,4.5697,87.7907,11.6122,87.6844,4.8783,88.3031,8.3279,85.1567,6.218,87.6272
1.5,88.1142,10.6656,88.0398,6.1522,88.0164,7.305,88.4077,8.3069,88.4243,4.5697,87.7907,11.6122,87.6844,4.8783,88.3031,8.3279,85.1567,6.218,87.6272
"{'regulator': [7.251958558588681, 7.491034115465232, 6.654269666397308], 'honeywell': [-10.37991294826373, 36.336796823485564, -12.221158532559091], 'commanded': [0, 0, 0]}","{'regulator': [7.45118818931914, 7.251958558588681, 6.654269666397308], 'honeywell': [-10.203623477426937, 36.297621385521836, -12.181983094595356], 'commanded': [0, 0, 0]}","{'regulator': [97.9014405409472, 96.06852793822699, 7.769955598487873], 'honeywell': [-10.184035758445075, 38.080103812871606, 58.11834033132003], 'commanded': [0, 0, 0]}","{'regulator': [11.4756267300744, 19.325274180854457, 26.856154222465783], 'honeywell': [10.26554285862254, 36.473910856358614, -9.694342783898437], 'commanded': [0, 0, 0]}","{'regulator': [98.22020795011593, 93.99653977863024, 15.460219344683564], 'honeywell': [-2.8974042971911005, 37.903814342034806, 58.35339295910241], 'commanded': [0, 0, 0]}","{'regulator': [7.530880041611324, 21.476954192743406, 9.881789684230732], 'honeywell': [-8.303614736185978, 36.10174419570316, -13.827351489072065], 'commanded': [0, 0, 0]}","{'regulator': [99.8538909221057, 97.78190276250893, 6.614423740251216], 'honeywell': [-9.518053313061644, 37.92340206101668, 58.45133155401175], 'commanded': [0, 0, 0]}","{'regulator': [7.491034115465232, 19.604195663877096, 9.16456301360108], 'honeywell': [-8.244851579240393, 36.140919633666904, -13.866526927035794], 'commanded': [0, 0, 0]}","{'regulator': [99.8937368482518, 98.10067017167769, 16.894672685942865], 'honeywell': [-1.4870885304967774, 37.82546346610733, 58.47091927299361], 'commanded': [0, 0, 0]}","{'regulator': [7.172266706296499, 22.831715681710524, 36.69809798055042], 'honeywell': [17.062481345329875, 36.21927050959436, -13.004667291833712], 'commanded': [0, 0, 0]}","{'regulator': [97.9412864670933, 91.92455161903345, 12.910080071333699], 'honeywell': [-5.874737582434658, 37.86463890407108, 58.647208743830404], 'commanded': [0, 0, 0]}","{'regulator': [7.730109672341782, 20.40111418679893, 8.606720047555799], 'honeywell': [-10.066509444553883, 36.238858228576234, -13.846939208053929], 'commanded': [0, 0, 0]}","{'regulator': [97.82174868865502, 97.9412864670933, 6.49488596181294], 'honeywell': [-9.596404188989109, 37.845051185089204, 58.58844558688481], 'commanded': [0, 0, 0]}","{'regulator': [15.500065270829657, 25.860006068813487, 36.69809798055042], 'honeywell': [13.262463862847973, 36.31720910450369, -4.581948129631526], 'commanded': [0, 0, 0]}","{'regulator': [97.98113239323939, 93.95669385248414, 17.77128306115688], 'honeywell': [-2.2901850087532623, 37.7862880281436, 58.60803330586667], 'commanded': [0, 0, 0]}","{'regulator': [7.530880041611324, 21.83556752805823, 13.866382298839898], 'honeywell': [-7.167527035237781, 36.18009507163063, -13.63147429925341], 'commanded': [0, 0, 0]}","{'regulator': [97.9014405409472, 97.98113239323939, 12.710850440603242], 'honeywell': [-1.3891499355874497, 37.88422662305293, 57.98122629844699], 'commanded': [0, 0, 0]}","{'regulator': [7.331650410880866, 20.201884556068475, 22.752023829418338], 'honeywell': [7.268621854397112, 36.35638454246744, -13.043842729797442], 'commanded': [0, 0, 0]}","{'regulator': [95.78960645520435, 91.84485976674127, 15.380527492391382], 'honeywell': [-3.6417376185019856, 37.92340206101668, 55.92451580535109], 'commanded': [0, 0, 0]}","{'regulator': [7.610571893903507, 17.731437135010786, 12.94992599747979], 'honeywell': [-7.71598316673002, 36.25844594755809, -13.611886580271543], 'commanded': [0, 0, 0]}"
