5073,6139,7205,8272,9340,10411,11478,12542,13607,14674,15742,16810,17879,18944,20003,21071,22137,23205,24273,25340
1.5,88.1595,4.5639,88.1926,3.1546,87.2679,2.8962,88.0768,5.0454,88.2123,1.9782,88.4469,3.3671,88.221,21.7133,85.5365,2.6403,88.3868,2.4197,85.1115
1.5,88.4666,1.8503,85.7692,1.9883,87.8966,1.9633,88.1095,5.7514,88.2302,1.8842,87.3494,3.6002,86.1283,4.6343,88.2903,2.0125,87.9989,2.8805,84.3623
1.5,88.3957,49.9969,87.9915,46.3026,87.9662,48.0323,88.3881,48.849,88.3973,43.3415,88.0451,51.4043,87.7456,44.0862,88.2075,48.8644,85.8634,46.4944,87.8087
"{'regulator': [7.132420780150407, 6.853499297127766, 6.2956563310824825], 'honeywell': [-3.994316560175569, -4.3664832208310065, 11.96967441004484], 'commanded': [0, 0, 0]}","{'regulator': [7.21211263244259, 6.933191149419949, 6.375348183374666], 'honeywell': [-3.8180270893387775, -4.3664832208310065, 11.93049897208111], 'commanded': [0, 0, 0]}","{'regulator': [93.11992940341622, 89.3345664195375, 91.44640050528035], 'honeywell': [80.31122593777367, 74.23903305339536, 89.43910298332301], 'commanded': [0, 0, 0]}","{'regulator': [57.21874994578762, 19.126044550123996, 20.440960112945024], 'honeywell': [9.521209537311648, 8.052130613671741, 54.80801582338475], 'commanded': [0, 0, 0]}","{'regulator': [93.1597753295623, 85.5093575095127, 91.16747902225772], 'honeywell': [79.93905927711823, 71.67304186677099, 89.02776088470387], 'commanded': [0, 0, 0]}","{'regulator': [55.146761786190865, 18.608047510224807, 20.48080603909111], 'honeywell': [9.775849884075903, 5.995420120575861, 52.51625270250648], 'commanded': [0, 0, 0]}","{'regulator': [93.08008347727011, 89.49395012412187, 91.12763309611162], 'honeywell': [77.33389265253012, 75.43388391128917, 88.94941000877638], 'commanded': [0, 0, 0]}","{'regulator': [55.345991416921315, 16.934518612088954, 18.52835565793262], 'honeywell': [8.385121836363453, 5.211911361301239, 53.04512111501687], 'commanded': [0, 0, 0]}","{'regulator': [93.2394671818545, 87.62119159525555, 91.20732494840381], 'honeywell': [74.65037515201455, 75.80605057194461, 89.53704157823235], 'commanded': [0, 0, 0]}","{'regulator': [57.21874994578762, 17.133748242819415, 18.44866380564044], 'honeywell': [8.776876216000764, 5.231499080283095, 54.1616210969832], 'commanded': [0, 0, 0]}","{'regulator': [93.1996212557084, 87.70088344754774, 91.287016800696], 'honeywell': [79.42977858358972, 74.33697164830471, 89.36075210739556], 'commanded': [0, 0, 0]}","{'regulator': [51.122323245435595, 18.886968993247446, 18.568201584078714], 'honeywell': [9.227393752583675, 5.701604335847869, 50.06778782977329], 'commanded': [0, 0, 0]}","{'regulator': [93.2394671818545, 87.34227011223292, 90.96824939152724], 'honeywell': [80.38957681370113, 76.08027863769072, 89.41951526434114], 'commanded': [0, 0, 0]}","{'regulator': [59.29073810538439, 18.608047510224807, 20.48080603909111], 'honeywell': [10.148016544731341, 5.349025394174295, 55.78740177247804], 'commanded': [0, 0, 0]}","{'regulator': [93.04023755112404, 87.50165381681731, 91.00809531767335], 'honeywell': [80.54627856555607, 73.47511201310262, 89.1648749175769], 'commanded': [0, 0, 0]}","{'regulator': [51.361398802312145, 16.934518612088954, 24.50524457984637], 'honeywell': [14.53566559666923, 4.937683295555112, 50.283252738573815], 'commanded': [0, 0, 0]}","{'regulator': [93.2394671818545, 89.69317975485232, 89.21502864109924], 'honeywell': [77.47100668540318, 77.04007686780214, 89.30198895044994], 'commanded': [0, 0, 0]}","{'regulator': [55.146761786190865, 17.173594168965504, 18.966660845539632], 'honeywell': [8.894402529891945, 5.446963989083622, 54.12244565901947], 'commanded': [0, 0, 0]}","{'regulator': [91.20732494840381, 89.49395012412187, 91.08778716996552], 'honeywell': [78.7637961382063, 75.4142961923073, 87.44115564717275], 'commanded': [0, 0, 0]}","{'regulator': [53.034927700447994, 18.966660845539632, 20.520651965237207], 'honeywell': [10.324306015568142, 6.7005780039230185, 52.418314107597155], 'commanded': [0, 0, 0]}"
