5073,6140,7207,8275,9342,10419,11486,12553,13621,14688,15753,16821,17889,18956,20022,21090,22157,23224,24294,25361
1.5,88.1595,4.5639,88.1926,3.1546,87.2679,2.8962,88.0768,5.0454,88.2123,1.9782,88.4469,3.3671,88.221,21.7133,85.5365,2.6403,88.3868,2.4197,85.1115
1.5,88.4666,1.8503,85.7692,1.9883,87.8966,1.9633,88.1095,5.7514,88.2302,1.8842,87.3494,3.6002,86.1283,4.6343,88.2903,2.0125,87.9989,2.8805,84.3623
1.5,88.3957,49.9969,87.9915,46.3026,87.9662,48.0323,88.3881,48.849,88.3973,43.3415,88.0451,51.4043,87.7456,44.0862,88.2075,48.8644,85.8634,46.4944,87.8087
"{'regulator': [0.5976888921913749, 6.773807444835582, 6.2558104049363905], 'honeywell': [-3.4850358666470584, -4.9932902282507, 9.188218314619936], 'commanded': [0, 0, 0]}","{'regulator': [0.5578429660452833, 6.813653370981675, 6.1362726264981164], 'honeywell': [-3.2108078009009478, -5.091228823160037, 9.168630595638072], 'commanded': [0, 0, 0]}","{'regulator': [23.509096426194077, 69.09283593732295, 70.6866729831666], 'honeywell': [54.41626144374745, 57.00184034935369, 71.47716467695231], 'commanded': [0, 0, 0]}","{'regulator': [5.100278546699733, 7.092574854004314, 6.2558104049363905], 'honeywell': [-3.308746395810275, -4.581948129631526, 30.89141094652696], 'commanded': [0, 0, 0]}","{'regulator': [17.332977873549872, 56.10306401369706, 63.753481833746655], 'honeywell': [48.069840493623026, 47.932726460749954, 65.18950688377349], 'commanded': [0, 0, 0]}","{'regulator': [1.7133748242819415, 6.813653370981675, 6.415194109520757], 'honeywell': [-3.0149306110822836, -4.386070939812879, 22.64498125516156], 'commanded': [0, 0, 0]}","{'regulator': [30.641517206344485, 79.45277673530677, 78.93477969540758], 'honeywell': [65.07198056988229, 65.5224981064652, 79.93905927711823], 'commanded': [0, 0, 0]}","{'regulator': [11.953777843827497, 8.965333382870623, 8.168414859948792], 'honeywell': [-1.4087376545693135, -3.308746395810275, 45.660551058853564], 'commanded': [0, 0, 0]}","{'regulator': [32.31504610448034, 81.2458434118809, 80.96692192885824], 'honeywell': [68.26477876392639, 67.91219982225279, 81.64319082854054], 'commanded': [0, 0, 0]}","{'regulator': [11.077167468613482, 11.635010434658764, 11.595164508512672], 'honeywell': [0.9613763422364141, -0.8602815230770837, 47.36468261027586], 'commanded': [0, 0, 0]}","{'regulator': [32.91273499667171, 83.5967530545003, 82.87952638387064], 'honeywell': [70.1843752241492, 70.36066469498599, 83.6019627267271], 'commanded': [0, 0, 0]}","{'regulator': [11.196705247051757, 13.029617849771972, 13.746844520401625], 'honeywell': [2.5283938607856564, -0.07677276380246253, 43.21208618612037], 'commanded': [0, 0, 0]}","{'regulator': [30.203212018737474, 83.47721527606203, 83.03891008845503], 'honeywell': [68.55859454865438, 70.04726119127615, 82.72051537254315], 'commanded': [0, 0, 0]}","{'regulator': [12.830388219041515, 11.077167468613482, 13.866382298839898], 'honeywell': [2.5479815797675203, -0.8798692420589476, 51.16470009275776], 'commanded': [0, 0, 0]}","{'regulator': [67.18023148231053, 83.31783157147768, 85.15074417419787], 'honeywell': [71.67304186677099, 69.53798049774763, 84.91433989851211], 'commanded': [0, 0, 0]}","{'regulator': [22.9512534601488, 15.021914157076555, 20.281576408360653], 'honeywell': [10.26554285862254, 1.6665342255835716, 47.168805420457204], 'commanded': [0, 0, 0]}","{'regulator': [62.00026108331863, 85.66874121409707, 84.99136046961351], 'honeywell': [68.26477876392639, 72.55448922095493, 85.6390855008411], 'commanded': [0, 0, 0]}","{'regulator': [27.812456449971982, 15.061760083222648, 16.257137867605397], 'honeywell': [5.64284117890227, 2.508806141803793, 52.24202463676039], 'commanded': [0, 0, 0]}","{'regulator': [56.461677349011886, 87.34227011223292, 87.34227011223292], 'honeywell': [75.55141022518035, 71.79056818066218, 83.07309431421672], 'commanded': [0, 0, 0]}","{'regulator': [29.207063865085185, 12.830388219041515, 15.340681566245289], 'honeywell': [4.408814883044746, 1.7448851015110352, 48.9904632857707], 'commanded': [0, 0, 0]}"
