5071,6139,7206,8273,9337,10404,11470,12535,13602,14666,15734,16799,17867,18934,20000,21065,22131,23199,24266,25334
1.5,88.1595,4.5639,88.1926,3.1546,87.2679,2.8962,88.0768,5.0454,88.2123,1.9782,88.4469,3.3671,88.221,21.7133,85.5365,2.6403,88.3868,2.4197,85.1115
1.5,88.4666,1.8503,85.7692,1.9883,87.8966,1.9633,88.1095,5.7514,88.2302,1.8842,87.3494,3.6002,86.1283,4.6343,88.2903,2.0125,87.9989,2.8805,84.3623
1.5,88.3957,49.9969,87.9915,46.3026,87.9662,48.0323,88.3881,48.849,88.3973,43.3415,88.0451,51.4043,87.7456,44.0862,88.2075,48.8644,85.8634,46.4944,87.8087
"{'regulator': [7.371496337026957, 6.893345223273858, 6.215964478790299], 'honeywell': [-3.3283341147921393, -4.190193749994215, 22.919209320907672], 'commanded': [0, 0, 0]}","{'regulator': [7.092574854004314, 6.973037075566041, 6.3355022572285735], 'honeywell': [-3.347921833774011, -4.229369187957952, 22.3903409083973], 'commanded': [0, 0, 0]}","{'regulator': [95.70991460291218, 91.52609235757257, 93.1996212557084], 'honeywell': [82.70092765356128, 80.409164532683, 98.56698002887236], 'commanded': [0, 0, 0]}","{'regulator': [59.52981366226095, 21.23787863586686, 22.51294827254179], 'honeywell': [12.126376161899765, 8.894402529891945, 64.62146303329938], 'commanded': [0, 0, 0]}","{'regulator': [93.51838866487712, 87.62119159525555, 91.36670865298818], 'honeywell': [81.32978732483069, 75.19883128350679, 96.90202391541378], 'commanded': [0, 0, 0]}","{'regulator': [55.54522104765177, 19.046352697831814, 20.60034381752939], 'honeywell': [10.402656891495605, 6.798516598832346, 61.84000693787448], 'commanded': [0, 0, 0]}","{'regulator': [93.71761829560758, 89.37441234568358, 91.04794124381945], 'honeywell': [79.88029612017264, 76.6091470502011, 96.96078707235937], 'commanded': [0, 0, 0]}","{'regulator': [55.66475882609005, 19.24558232856227, 20.560497891383296], 'honeywell': [10.010902511858294, 7.346972730324576, 61.252375368418534], 'commanded': [0, 0, 0]}","{'regulator': [93.6777723694615, 89.45410419797577, 91.04794124381945], 'honeywell': [80.38957681370113, 74.43491024321402, 96.8432607584682], 'commanded': [0, 0, 0]}","{'regulator': [57.45782550266417, 17.093902316673322, 20.321422334506746], 'honeywell': [9.795437603057767, 5.564490302974814, 62.6235156971491], 'commanded': [0, 0, 0]}","{'regulator': [97.62251905792458, 91.48624643142647, 93.31915903414668], 'honeywell': [83.07309431421672, 78.66585754329698, 99.27213791221953], 'commanded': [0, 0, 0]}","{'regulator': [53.5130788142011, 21.078494931282485, 22.433256420249606], 'honeywell': [11.460393716516338, 8.659349902109563, 60.508042047107644], 'commanded': [0, 0, 0]}","{'regulator': [93.6777723694615, 87.78057529983992, 93.31915903414668], 'honeywell': [77.07925230576588, 76.98131371085654, 97.72470811265217], 'commanded': [0, 0, 0]}","{'regulator': [57.53751735495635, 19.00650677168572, 22.473102346395702], 'honeywell': [11.264516526697681, 6.641814846977417, 64.0534191828253], 'commanded': [0, 0, 0]}","{'regulator': [93.43869681258494, 87.54149974296338, 91.36670865298818], 'honeywell': [81.15349785399391, 75.25759444045238, 97.31336601403297], 'commanded': [0, 0, 0]}","{'regulator': [53.83184622336983, 17.05405639052723, 26.776462370173597], 'honeywell': [15.456288388816908, 5.858306087702797, 59.724533287833005], 'commanded': [0, 0, 0]}","{'regulator': [93.6379264433154, 89.45410419797577, 89.05564493651485], 'honeywell': [75.21841900248863, 76.6679102071467, 97.74429583163399], 'commanded': [0, 0, 0]}","{'regulator': [57.69690105954072, 17.133748242819415, 18.44866380564044], 'honeywell': [8.796463934982626, 5.270674518246831, 61.91835781380195], 'commanded': [0, 0, 0]}","{'regulator': [89.65333382870622, 87.58134566910948, 91.08778716996552], 'honeywell': [80.2916382187918, 76.70708564511042, 92.41643626856658], 'commanded': [0, 0, 0]}","{'regulator': [55.70460475223615, 17.093902316673322, 18.568201584078714], 'honeywell': [9.2665691905474, 4.8397447006457845, 60.48845432812576], 'commanded': [0, 0, 0]}"
