5073,6137,7202,8269,9337,10406,11473,12538,13603,14672,15737,16804,17871,18940,20004,21073,22138,23205,24270,25336
1.5,3.3915,86.2671,4.926,3.8572,87.658,3.2344,4.7344,86.2503,7.6916,1.7783,86.6436,2.9874,2.8964,76.4453,2.5436,4.0436,88.0315,1.8239,3.3239
1.5,86.8884,23.0455,7.0965,87.5338,25.6935,4.7871,85.4604,25.8391,2.0905,88.256,29.0721,10.9509,88.0379,22.5624,3.7194,87.9504,25.6071,4.7004,87.44
1.5,87.7735,2.612,4.112,78.733,1.7825,1.8323,86.6279,11.4522,12.9522,80.4122,3.5563,5.0563,88.2443,1.6988,3.1988,87.893,9.6702,3.3791,83.1908
"{'regulator': [10.12086524110728, 15.181297861660925, 11.356088951636126], 'honeywell': [-3.1520446439553473, -4.3468955018491435, -3.994316560175569], 'commanded': [0, 0, 0]}","{'regulator': [9.921635610376823, 14.942222304784373, 11.435780803928308], 'honeywell': [-2.9169920161729648, -4.425246377776607, -4.072667436103033], 'commanded': [0, 0, 0]}","{'regulator': [96.18806571666528, 92.00424347132565, 11.276397099343939], 'honeywell': [-3.132456924973484, 72.92665588161037, 83.01433115727113], 'commanded': [0, 0, 0]}","{'regulator': [10.12086524110728, 19.48465788543882, 92.08393532361782], 'honeywell': [77.72564703216743, 0.099516707034329, -1.6046148443879686], 'commanded': [0, 0, 0]}","{'regulator': [9.762251905792457, 15.021914157076555, 21.875413454204327], 'honeywell': [6.739753441886746, -4.229369187957952, -1.7025534392973052], 'commanded': [0, 0, 0]}","{'regulator': [86.18673825399627, 91.40655457913428, 11.714702286950947], 'honeywell': [-2.3293604467169984, 75.33594531637982, 73.98439270663111], 'commanded': [0, 0, 0]}","{'regulator': [10.041173388815098, 18.966660845539632, 94.95284200613644], 'honeywell': [80.74215575537472, 0.3345693348167119, -1.3891499355874497], 'commanded': [0, 0, 0]}","{'regulator': [9.881789684230732, 14.742992674053914, 21.676183823473867], 'honeywell': [7.934604299780541, -3.6613253374838584, -1.212860464750667], 'commanded': [0, 0, 0]}","{'regulator': [94.31530718779895, 89.3345664195375, 11.316243025490033], 'honeywell': [-1.9767815050434157, 73.0833576334653, 81.91741889428666], 'commanded': [0, 0, 0]}","{'regulator': [9.921635610376823, 19.126044550123996, 92.72147014195528], 'honeywell': [80.42875225166486, 1.118078094091342, 0.41292021074417573], 'commanded': [0, 0, 0]}","{'regulator': [9.802097831938548, 14.742992674053914, 22.552794198687877], 'honeywell': [8.287183241454125, -3.4850358666470584, 4.310876288135418], 'commanded': [0, 0, 0]}","{'regulator': [88.29857233973912, 91.96439754517954, 11.515472656220489], 'honeywell': [-2.309772727735126, 75.57099794416222, 76.6091470502011], 'commanded': [0, 0, 0]}","{'regulator': [10.638862281006473, 22.79186975556443, 92.48239458507875], 'honeywell': [77.39265580947573, 5.740779773811606, -1.2912113406781307], 'commanded': [0, 0, 0]}","{'regulator': [10.5193245025682, 15.260989713953107, 23.74817198307063], 'honeywell': [8.776876216000764, -3.798439370356905, -1.2912113406781307], 'commanded': [0, 0, 0]}","{'regulator': [96.22791164281135, 91.88470569288737, 11.236551173197851], 'honeywell': [-2.2705972897713984, 74.74831374692387, 83.58237500774523], 'commanded': [0, 0, 0]}","{'regulator': [10.12086524110728, 21.397262340451224, 82.48106712240973], 'honeywell': [69.36169102691086, 0.9809640612182778, -1.5066762494786412], 'commanded': [0, 0, 0]}","{'regulator': [9.84194375808464, 15.021914157076555, 19.48465788543882], 'honeywell': [5.564490302974814, -4.3468955018491435, -1.585027125406105], 'commanded': [0, 0, 0]}","{'regulator': [96.22791164281135, 92.2831649543483, 11.03732154246739], 'honeywell': [-2.2901850087532623, 75.27718215943425, 82.70092765356128], 'commanded': [0, 0, 0]}","{'regulator': [10.001327462669007, 20.958957152844214, 94.51453681852941], 'honeywell': [79.91947155813635, 1.8232359774384992, -1.4479130925330497], 'commanded': [0, 0, 0]}","{'regulator': [9.961481536522914, 14.862530452492189, 21.516800118889496], 'honeywell': [7.268621854397112, -4.092255155084896, -1.3303867786418495], 'commanded': [0, 0, 0]}"
